Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
208.0,24.7693,0.247693,None kPa,N/A,876,['C'],A,Low temperature calorimetry set up,"not stated,96 % (total),",96.0,Not Specified %,1911
200.0,23.9743,0.239743,None kPa,N/A,876,['C'],A,Low temperature calorimetry set up,"not stated,96 % (total),",96.0,Not Specified %,1911
86.0,17.9494,0.179494,None kPa,N/A,876,['C'],A,Low temperature calorimetry set up,"not stated,96 % (total),",96.0,Not Specified %,1911
86.0,18.4096,0.184096,None kPa,N/A,876,['C'],A,Low temperature calorimetry set up,"not stated,96 % (total),",96.0,Not Specified %,1911
84.0,18.5351,0.185351,None kPa,N/A,876,['C'],A,Low temperature calorimetry set up,"not stated,96 % (total),",96.0,Not Specified %,1911
66.0,15.3134,0.153134,None kPa,N/A,877,['C'],A,Low temperature calorimetry set up,"not stated,96 % (total),",96.0,Not Specified %,1911
64.0,15.1879,0.151879,None kPa,N/A,877,['C'],A,Low temperature calorimetry set up,"not stated,96 % (total),",96.0,Not Specified %,1911
77.0,17.0289,0.170289,None kPa,N/A,878,['C'],A,Low temperature calorimetry set up,"not stated,96 % (total),",96.0,Not Specified %,1911
53.8,12.1336,0.121336,None kPa,N/A,878,['C'],A,Low temperature calorimetry set up,"not stated,96 % (total),",96.0,Not Specified %,1911
51.4,11.757,0.11757,None kPa,N/A,878,['C'],A,Low temperature calorimetry set up,"not stated,96 % (total),",96.0,Not Specified %,1911
45.5,10.3345,0.103345,None kPa,N/A,878,['C'],A,Low temperature calorimetry set up,"not stated,96 % (total),",96.0,Not Specified %,1911
42.9,9.45584,0.0945584,None kPa,N/A,878,['C'],A,Low temperature calorimetry set up,"not stated,96 % (total),",96.0,Not Specified %,1911
39.1,7.9496,0.079496,None kPa,N/A,878,['C'],A,Low temperature calorimetry set up,"not stated,96 % (total),",96.0,Not Specified %,1911
35.0,6.61072,0.0661072,None kPa,N/A,878,['C'],A,Low temperature calorimetry set up,"not stated,96 % (total),",96.0,Not Specified %,1911
