Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
88.3,10.9621,0.109621,None kPa,N/A,880,['C'],A,Low temperature calorimetry set up,not stated,,,1911
86.0,10.5437,0.105437,None kPa,N/A,880,['C'],A,Low temperature calorimetry set up,not stated,,,1911
83.0,10.0834,0.100834,None kPa,N/A,880,['C'],A,Low temperature calorimetry set up,not stated,,,1911
35.1,1.38072,0.0138072,None kPa,N/A,880,['C'],A,Low temperature calorimetry set up,not stated,,,1911
32.4,1.046,0.01046,None kPa,N/A,880,['C'],A,Low temperature calorimetry set up,not stated,,,1911
32.4,1.046,0.04184,None kPa,N/A,908,['C'],A,not stated,not stated,,,1912
35.1,1.38072,0.0552288,None kPa,N/A,908,['C'],A,not stated,not stated,,,1912
83.0,10.0834,0.403338,None kPa,N/A,908,['C'],A,not stated,not stated,,,1912
86.0,10.5437,0.421747,None kPa,N/A,908,['C'],A,not stated,not stated,,,1912
88.3,10.9621,0.438483,None kPa,N/A,908,['C'],A,not stated,not stated,,,1912
137.0,16.6105,0.664419,None kPa,N/A,908,['C'],A,not stated,not stated,,,1912
235.0,22.2589,0.890355,None kPa,N/A,908,['C'],A,not stated,not stated,,,1912
331.0,24.3509,0.974035,None kPa,N/A,908,['C'],A,not stated,not stated,,,1912
433.0,25.5224,1.0209,None kPa,N/A,908,['C'],A,not stated,not stated,,,1912
555.0,27.1123,1.08449,None kPa,N/A,908,['C'],A,not stated,not stated,,,1912
158.7,19.3719,0.581158,None kPa,N/A,1169,['C'],A,Low temperature calorimetry set up,not stated,,,1914
191.5,21.171,0.635131,None kPa,N/A,1169,['C'],A,Low temperature calorimetry set up,not stated,,,1914
273.1,23.7651,0.712954,None kPa,N/A,1169,['C'],A,Low temperature calorimetry set up,not stated,,,1914
301.5,24.3509,0.730526,None kPa,N/A,1169,['C'],A,Low temperature calorimetry set up,not stated,,,1914
324.1,24.7693,0.743078,None kPa,N/A,1169,['C'],A,Low temperature calorimetry set up,not stated,,,1914
370.6,25.4806,0.764417,None kPa,N/A,1169,['C'],A,Low temperature calorimetry set up,not stated,,,1914
120.0,15.6482,0.782408,101.325 kPa,N/A,1176,['C'],A,Not Described,not stated,,,1914
200.0,21.5058,1.07529,None kPa,N/A,1176,['C'],A,Not Described,not stated,,,1914
250.0,23.1794,1.15897,None kPa,N/A,1176,['C'],A,Not Described,not stated,,,1914
300.0,24.309,1.21545,None kPa,N/A,1176,['C'],A,Not Described,not stated,,,1914
340.0,25.0203,1.25102,None kPa,N/A,1176,['C'],A,Not Described,not stated,,,1914
380.0,25.6479,1.2824,None kPa,N/A,1176,['C'],A,Not Described,not stated,,,1914
373.15,25.7734,0.257734,None kPa,N/A,1933,['C'],A,Drop calorimetry,"origin: commercial source,99.8 % (total),",99.8,Not Specified %,1924
473.15,26.8613,0.268613,None kPa,N/A,1933,['C'],A,Drop calorimetry,"origin: commercial source,99.8 % (total),",99.8,Not Specified %,1924
573.15,27.9491,0.279491,None kPa,N/A,1933,['C'],A,Drop calorimetry,"origin: commercial source,99.8 % (total),",99.8,Not Specified %,1924
673.15,29.0788,0.290788,None kPa,N/A,1933,['C'],A,Drop calorimetry,"origin: commercial source,99.8 % (total),",99.8,Not Specified %,1924
773.15,30.1666,0.301666,None kPa,N/A,1933,['C'],A,Drop calorimetry,"origin: commercial source,99.8 % (total),",99.8,Not Specified %,1924
873.15,31.2545,0.312545,None kPa,N/A,1933,['C'],A,Drop calorimetry,"origin: commercial source,99.8 % (total),",99.8,Not Specified %,1924
56.18,4.92457,0.0984914,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
59.6,5.72371,0.114474,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
63.86,6.53541,0.130708,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
75.44,8.75293,0.175059,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
79.99,9.60646,0.192129,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
84.45,10.3889,0.207777,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
90.24,11.3888,0.227777,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
92.85,11.757,0.235141,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
100.6,12.9871,0.259743,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
112.5,14.6189,0.292378,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
126.5,16.259,0.32518,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
141.7,17.7694,0.355389,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
163.4,19.4012,0.388024,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
185.0,20.556,0.41112,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
200.4,21.3593,0.427186,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
219.6,22.1668,0.443337,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
241.1,22.8112,0.456223,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
257.4,23.1668,0.463336,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
272.8,23.5685,0.471369,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
290.6,23.9701,0.479403,None kPa,N/A,4151,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
54.8,4.72374,0.0944747,None kPa,N/A,4152,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
58.42,5.39318,0.107864,None kPa,N/A,4152,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
61.84,6.15885,0.123177,None kPa,N/A,4152,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
69.99,7.7655,0.15531,None kPa,N/A,4152,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
83.96,10.2801,0.205602,None kPa,N/A,4152,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
97.68,12.5269,0.250538,None kPa,N/A,4152,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
112.4,14.7821,0.295641,None kPa,N/A,4152,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
124.6,16.1042,0.322084,None kPa,N/A,4152,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
141.0,17.736,0.35472,None kPa,N/A,4152,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
164.2,19.443,0.388861,None kPa,N/A,4152,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
186.2,20.6355,0.41271,None kPa,N/A,4152,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
199.4,21.3384,0.426768,None kPa,N/A,4152,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
218.9,22.2045,0.44409,None kPa,N/A,4152,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
243.8,22.9534,0.459068,None kPa,N/A,4152,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.985 weight %,estimated by the compiler,wire",99.985,Weight %,1934
