Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
57.2,10.042,0.40168,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
61.1,10.284,0.41136,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
70.2,12.088,0.48352,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
80.9,14.995,0.5998,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
85.2,14.795,0.5918,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
91.0,15.493,0.61972,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
98.6,16.246,0.64984,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
115.5,18.749,0.74996,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
128.2,19.355,0.7742,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
140.6,20.083,0.80332,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
155.5,20.878,0.83512,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
174.4,21.493,0.85972,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
202.7,22.794,0.91176,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
212.7,23.163,0.92652,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
227.1,23.397,0.93588,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
242.4,24.029,0.96116,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
258.9,24.129,0.96516,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
267.2,23.991,0.95964,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
272.8,24.075,0.963,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
285.7,24.468,0.97872,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
291.0,24.686,0.98744,None kPa,N/A,3120,['C'],A,Low temperature calorimetry set up,"not stated,99.8 weight % (total),",99.8,Weight %,1930
0.7013,0.00018,7.2e-06,None kPa,N/A,16866,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9999 weight % (total),stated by supplier",99.9999,Weight %,1967
0.775,0.000199,7.96e-06,None kPa,N/A,16867,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9999 weight % (total),stated by supplier",99.9999,Weight %,1967
0.7895,0.000202,8.08e-06,None kPa,N/A,16867,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9999 weight % (total),stated by supplier",99.9999,Weight %,1967
0.8386,0.00022,8.8e-06,None kPa,N/A,16867,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9999 weight % (total),stated by supplier",99.9999,Weight %,1967
0.8516,0.000222,8.88e-06,None kPa,N/A,16867,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9999 weight % (total),stated by supplier",99.9999,Weight %,1967
0.89,0.000234,9.36e-06,None kPa,N/A,16867,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9999 weight % (total),stated by supplier",99.9999,Weight %,1967
0.9062,0.000243,9.72e-06,None kPa,N/A,16867,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9999 weight % (total),stated by supplier",99.9999,Weight %,1967
0.9307,0.000252,1.008e-05,None kPa,N/A,16867,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9999 weight % (total),stated by supplier",99.9999,Weight %,1967
0.9619,0.000267,1.068e-05,None kPa,N/A,16867,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9999 weight % (total),stated by supplier",99.9999,Weight %,1967
1.0273,0.000295,1.18e-05,None kPa,N/A,16867,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9999 weight % (total),stated by supplier",99.9999,Weight %,1967
1.061,0.000312,1.248e-05,None kPa,N/A,16867,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9999 weight % (total),stated by supplier",99.9999,Weight %,1967
1.064,0.000314,1.256e-05,None kPa,N/A,16867,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9999 weight % (total),stated by supplier",99.9999,Weight %,1967
