Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
14.96,1.49369,0.0224262,0.266645 kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
15.29,1.66105,0.0249366,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
15.43,1.66523,0.0249785,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
15.73,1.8033,0.0270705,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
17.65,2.33886,0.0351038,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
18.02,2.44346,0.0366518,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
20.33,3.27189,0.0261918,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
21.7,3.77397,0.0302085,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
24.9,5.23837,0.0419237,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
32.5,8.38474,0.0670695,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
35.7,9.71106,0.0776969,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
44.0,12.7277,0.101839,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
51.1,14.9704,0.119746,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
63.6,17.4305,0.139453,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
72.7,18.6397,0.149118,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
82.5,19.8531,0.0595802,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
94.5,20.8363,0.062509,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
105.0,21.6857,0.0650612,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
147.5,23.7233,0.0711698,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
176.5,24.3969,0.0731782,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
212.5,24.7567,0.074266,None kPa,N/A,2835,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
1.188,0.00161,4.83e-05,1.33322e-09 kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
1.189,0.00146,4.25e-05,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
1.203,0.00172,4.85e-05,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
1.248,0.00178,4.85e-05,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
1.257,0.0018,4.75e-05,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
1.292,0.00186,4.73e-05,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
1.317,0.00196,4.81e-05,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
1.418,0.00228,5.39e-05,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
1.563,0.00281,6.39e-05,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
1.575,0.00284,6.2e-05,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
1.695,0.00336,7.03e-05,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
1.816,0.00389,7.78e-05,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
1.883,0.00431,8.62e-05,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
1.984,0.00475,9.5e-05,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
2.097,0.00551,0.0001102,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
2.185,0.00622,0.0001244,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
2.295,0.00712,0.0001424,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
2.37,0.00718,0.0001436,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
2.489,0.00858,0.0001716,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
2.597,0.00967,0.0001934,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
2.673,0.01034,0.0002068,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
2.772,0.01141,0.0002282,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
2.88,0.01258,0.0002516,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
2.971,0.01347,0.0002694,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
3.084,0.01484,0.0002968,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
3.179,0.01619,0.0003238,None kPa,N/A,8486,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),chemical analysis,rod",99.99,Not Specified %,1955
