Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
1.38264,0.00853614,0.000170723,0.0266645 kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
1.40693,0.00805071,0.000161014,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
1.5952,0.0115636,0.000231272,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
1.63223,0.0117761,0.000235521,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
1.67243,0.0118795,0.000237589,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
1.83042,0.0139542,0.000279084,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
1.87263,0.0151599,0.000303197,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
1.91654,0.0159899,0.000319798,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
1.95443,0.0163752,0.000327504,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
2.00266,0.0168772,0.000337544,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
2.08562,0.0195637,0.000391274,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
2.18638,0.0213592,0.000427184,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
2.21536,0.0225699,0.000451398,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
2.28794,0.0246938,0.000493876,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
2.3723,0.0260351,0.000520701,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
2.45481,0.0282116,0.000564232,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
2.52978,0.0308684,0.000617369,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
2.57474,0.0315053,0.000630106,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
2.69562,0.0355677,0.000711354,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
2.70918,0.0360224,0.000720448,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
2.80972,0.0392347,0.000784694,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
2.81043,0.0398679,0.000797359,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
2.94973,0.0450775,0.000901551,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
3.0472,0.0490266,0.000980533,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
3.08132,0.0510134,0.00102027,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
3.19564,0.0563381,0.00112676,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
3.21899,0.0572996,0.00114599,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
3.3117,0.0615681,0.00123136,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
3.33576,0.0630522,0.00126104,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
3.44447,0.0700606,0.00140121,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
3.46321,0.0713172,0.00142634,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
3.56805,0.0773739,0.00154748,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
3.59803,0.0792066,0.00158413,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
3.72195,0.0869395,0.00173879,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
3.81072,0.0932865,0.00186573,None kPa,N/A,9798,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
1.5,0.009,0.00018,None kPa,N/A,9799,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
2.0,0.0169,0.000338,None kPa,N/A,9799,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
2.5,0.0293,0.000586,None kPa,N/A,9799,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
3.0,0.0471,0.000942,None kPa,N/A,9799,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
3.5,0.0725,0.00145,None kPa,N/A,9799,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
4.0,0.107,0.00214,None kPa,N/A,9799,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
4.5,0.154,0.00308,None kPa,N/A,9799,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
5.0,0.22,0.0044,None kPa,N/A,9799,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
6.0,0.408,0.00816,None kPa,N/A,9799,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
7.0,0.665,0.0133,None kPa,N/A,9799,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1957
