Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
21.21,0.0154808,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
24.94,0.0192464,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
28.58,0.0213384,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
37.12,0.0405848,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
42.05,0.064852,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
48.12,0.098324,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
57.4,0.243509,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
63.34,0.343088,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
67.77,0.425513,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
70.95,0.497896,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
74.16,0.578647,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
78.15,0.70877,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
83.88,0.93345,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
86.38,1.07738,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
89.81,1.22047,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
97.84,1.68322,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
100.13,1.80791,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
103.27,2.0125,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
106.37,2.22254,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
109.55,2.46019,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
112.54,2.66228,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
115.68,2.91081,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
119.04,3.15474,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
129.63,3.96099,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
131.78,4.12375,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
134.21,4.3501,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
141.12,4.92792,2.092,None kPa,N/A,7688,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.5 weight % (total),stated by supplier,ingot",99.5,Weight %,1953
