Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
60.8,19.3761,0.387522,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
64.7,19.9619,0.399237,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
63.4,20.2966,0.405932,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
71.1,21.0874,0.421747,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
74.6,21.8237,0.436475,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
101.3,22.8614,0.457228,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
111.2,23.74,0.4748,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
125.1,24.3216,0.486432,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
137.2,24.104,0.48208,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
150.2,24.3383,0.486767,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
162.5,24.5559,0.491118,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
176.8,24.6814,0.493628,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
187.7,24.786,0.49572,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
198.9,25.0036,0.500072,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
208.8,24.9952,0.499904,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
218.8,25.0203,0.500406,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
258.1,24.5768,0.491536,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
266.3,25.3467,0.506933,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
272.8,25.4513,0.509025,None kPa,N/A,3131,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1930
