Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
30.0,0.0,0.0,None kPa,N/A,907,['C'],A,not stated,not stated,,,1912
42.0,0.0,0.0,None kPa,N/A,907,['C'],A,not stated,not stated,,,1912
88.0,0.12552,0.0050208,None kPa,N/A,907,['C'],A,not stated,not stated,,,1912
92.0,0.12552,0.0050208,None kPa,N/A,907,['C'],A,not stated,not stated,,,1912
205.0,2.59408,0.103763,None kPa,N/A,907,['C'],A,not stated,not stated,,,1912
209.0,2.76144,0.110458,None kPa,N/A,907,['C'],A,not stated,not stated,,,1912
220.0,3.01248,0.120499,None kPa,N/A,907,['C'],A,not stated,not stated,,,1912
222.0,3.17984,0.127194,None kPa,N/A,907,['C'],A,not stated,not stated,,,1912
232.0,3.59824,0.14393,None kPa,N/A,907,['C'],A,not stated,not stated,,,1912
243.0,3.9748,0.158992,None kPa,N/A,907,['C'],A,not stated,not stated,,,1912
262.0,4.76976,0.19079,None kPa,N/A,907,['C'],A,not stated,not stated,,,1912
284.0,5.6484,0.225936,None kPa,N/A,907,['C'],A,not stated,not stated,,,1912
306.0,6.61072,0.264429,None kPa,N/A,907,['C'],A,not stated,not stated,,,1912
331.0,7.69856,0.307942,None kPa,N/A,907,['C'],A,not stated,not stated,,,1912
358.0,8.87008,0.354803,None kPa,N/A,907,['C'],A,not stated,not stated,,,1912
418.0,11.1294,0.445178,None kPa,N/A,907,['C'],A,not stated,not stated,,,1912
1169.0,22.8028,2.092,None kPa,N/A,907,['C'],A,not stated,not stated,,,1912
671.15,28.4512,0.284512,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
698.15,30.5014,0.305014,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
723.15,32.4678,0.324678,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
748.15,34.518,0.34518,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
773.15,36.61,0.3661,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
798.15,38.7857,0.387857,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
823.15,41.0032,0.410032,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
848.15,43.2626,0.432626,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
873.15,45.6056,0.456056,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
898.15,47.9905,0.479905,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
923.15,50.459,0.50459,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
948.15,52.9694,0.529694,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
973.15,55.5635,0.555635,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
998.15,58.2413,0.582413,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
1023.15,60.9609,0.609609,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
1048.15,63.7223,0.637223,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
1073.15,66.5674,0.665674,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
1098.15,69.4962,0.694962,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
1123.15,72.4669,0.724669,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
1148.15,75.5212,0.755212,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
1173.15,78.6174,0.786174,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
1180.15,79.496,0.79496,None kPa,N/A,2342,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1926
1496.9,23.871,0.71613,1.33322e-06 kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1596.6,25.433,0.76299,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1598.6,25.611,0.76833,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1697.6,25.695,0.77085,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1699.9,25.717,0.77151,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1795.9,26.2,0.786,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1797.1,26.053,0.78159,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1896.6,26.403,0.79209,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1897.1,26.49,0.7947,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1897.2,26.479,0.79437,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1995.9,26.774,0.80322,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1996.6,26.838,0.80514,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
2096.8,27.071,0.81213,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
2098.1,27.055,0.81165,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
2196.0,27.5,0.825,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
2197.0,27.483,0.82449,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
2297.0,27.762,0.83286,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
2297.5,27.734,0.83202,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
2394.2,28.181,0.84543,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
2395.3,28.164,0.84492,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
2496.1,28.58,0.8574,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
2597.7,28.802,0.86406,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
2598.1,28.786,0.86358,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
2695.1,29.235,0.87705,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
2696.7,29.107,0.87321,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
2795.4,29.561,0.88683,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
2796.3,29.684,0.89052,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
2896.0,30.217,0.90651,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
2896.5,30.121,0.90363,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
2993.7,30.494,0.91482,None kPa,N/A,21952,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1497.09,23.957,0.71871,1.33322e-06 kPa,N/A,21953,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1497.49,23.756,0.71268,None kPa,N/A,21953,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1596.08,24.232,0.72696,None kPa,N/A,21953,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1597.27,23.987,0.71961,None kPa,N/A,21953,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1696.67,24.155,0.72465,None kPa,N/A,21953,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1697.72,24.397,0.73191,None kPa,N/A,21953,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1796.54,24.306,0.72918,None kPa,N/A,21953,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1797.89,24.595,0.73785,None kPa,N/A,21953,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1896.96,24.356,0.73068,None kPa,N/A,21953,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
1897.44,24.637,0.73911,None kPa,N/A,21953,['C'],A,Resistive pulse heating - millisecond,"origin: commercial source,99.99 % (total),stated by supplier",99.99,Not Specified %,1975
