Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
67.6,16.4431,0.164431,None kPa,N/A,1395,['C'],A,Vacuum adiabatic calorimetry,"not stated,97.75 % (total),chemical analysis",97.75,Not Specified %,1918
70.4,16.8197,0.168197,None kPa,N/A,1395,['C'],A,Vacuum adiabatic calorimetry,"not stated,97.75 % (total),chemical analysis",97.75,Not Specified %,1918
73.3,17.4054,0.174054,None kPa,N/A,1395,['C'],A,Vacuum adiabatic calorimetry,"not stated,97.75 % (total),chemical analysis",97.75,Not Specified %,1918
76.2,17.9075,0.179075,None kPa,N/A,1395,['C'],A,Vacuum adiabatic calorimetry,"not stated,97.75 % (total),chemical analysis",97.75,Not Specified %,1918
80.6,18.4933,0.184933,None kPa,N/A,1395,['C'],A,Vacuum adiabatic calorimetry,"not stated,97.75 % (total),chemical analysis",97.75,Not Specified %,1918
92.7,20.125,0.20125,None kPa,N/A,1395,['C'],A,Vacuum adiabatic calorimetry,"not stated,97.75 % (total),chemical analysis",97.75,Not Specified %,1918
94.9,20.5853,0.205853,None kPa,N/A,1395,['C'],A,Vacuum adiabatic calorimetry,"not stated,97.75 % (total),chemical analysis",97.75,Not Specified %,1918
103.4,21.2129,0.212129,None kPa,N/A,1395,['C'],A,Vacuum adiabatic calorimetry,"not stated,97.75 % (total),chemical analysis",97.75,Not Specified %,1918
141.4,23.8488,0.238488,None kPa,N/A,1395,['C'],A,Vacuum adiabatic calorimetry,"not stated,97.75 % (total),chemical analysis",97.75,Not Specified %,1918
143.3,23.7651,0.237651,None kPa,N/A,1395,['C'],A,Vacuum adiabatic calorimetry,"not stated,97.75 % (total),chemical analysis",97.75,Not Specified %,1918
145.2,23.9743,0.239743,None kPa,N/A,1395,['C'],A,Vacuum adiabatic calorimetry,"not stated,97.75 % (total),chemical analysis",97.75,Not Specified %,1918
163.2,24.9785,0.249785,None kPa,N/A,1395,['C'],A,Vacuum adiabatic calorimetry,"not stated,97.75 % (total),chemical analysis",97.75,Not Specified %,1918
198.5,26.6102,0.266102,None kPa,N/A,1395,['C'],A,Vacuum adiabatic calorimetry,"not stated,97.75 % (total),chemical analysis",97.75,Not Specified %,1918
200.0,26.6939,0.266939,None kPa,N/A,1395,['C'],A,Vacuum adiabatic calorimetry,"not stated,97.75 % (total),chemical analysis",97.75,Not Specified %,1918
230.3,27.0286,0.270286,None kPa,N/A,1395,['C'],A,Vacuum adiabatic calorimetry,"not stated,97.75 % (total),chemical analysis",97.75,Not Specified %,1918
287.2,28.2002,0.282002,None kPa,N/A,1395,['C'],A,Vacuum adiabatic calorimetry,"not stated,97.75 % (total),chemical analysis",97.75,Not Specified %,1918
293.5,28.242,0.28242,None kPa,N/A,1395,['C'],A,Vacuum adiabatic calorimetry,"not stated,97.75 % (total),chemical analysis",97.75,Not Specified %,1918
373.15,27.2378,0.272378,None kPa,N/A,1930,['C'],A,Drop calorimetry,"origin: commercial source,97.7 % (total),",97.7,Not Specified %,1924
473.15,28.9951,0.289951,None kPa,N/A,1930,['C'],A,Drop calorimetry,"origin: commercial source,97.7 % (total),",97.7,Not Specified %,1924
573.15,30.7106,0.307106,None kPa,N/A,1930,['C'],A,Drop calorimetry,"origin: commercial source,97.7 % (total),",97.7,Not Specified %,1924
673.15,32.4678,0.324678,None kPa,N/A,1930,['C'],A,Drop calorimetry,"origin: commercial source,97.7 % (total),",97.7,Not Specified %,1924
673.15,30.2085,0.302085,None kPa,N/A,1932,['C'],A,Drop calorimetry,"origin: commercial source,97.7 % (total),",97.7,Not Specified %,1924
773.15,30.6269,0.306269,None kPa,N/A,1932,['C'],A,Drop calorimetry,"origin: commercial source,97.7 % (total),",97.7,Not Specified %,1924
873.15,31.4637,0.314637,None kPa,N/A,1932,['C'],A,Drop calorimetry,"origin: commercial source,97.7 % (total),",97.7,Not Specified %,1924
10.16,0.184096,0.00276144,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
10.66,0.23012,0.00347272,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
11.72,0.297064,0.00447688,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
11.76,0.301248,0.00451872,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
13.02,0.405848,0.00610864,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
13.49,0.485344,0.00728016,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
15.34,0.677808,0.0101671,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
16.58,0.849352,0.0127612,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
17.43,0.974872,0.014644,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
18.73,1.21336,0.0182004,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
19.36,1.33888,0.0200832,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
21.4,1.69452,0.0135562,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
24.2,2.4309,0.0194556,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
27.6,3.48527,0.0278654,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
31.7,4.5773,0.03661,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
34.8,5.76555,0.0461077,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
38.8,7.12954,0.0570279,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
43.3,8.68598,0.0694962,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
52.2,11.4809,0.0918388,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
59.6,13.347,0.106776,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
67.7,14.8365,0.1187,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
75.7,16.2297,0.12983,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
83.5,17.5519,0.0526766,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
92.7,18.7025,0.0561074,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
102.2,19.6648,0.0589944,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
111.5,20.5644,0.061714,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
118.4,21.1418,0.0634294,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
128.6,21.8991,0.0656888,None kPa,N/A,3190,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
