Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
108.3,23.0957,0.69287,None kPa,N/A,1174,['C'],A,Low temperature calorimetry set up,not stated,,,1914
181.8,24.853,0.745589,None kPa,N/A,1174,['C'],A,Low temperature calorimetry set up,not stated,,,1914
273.1,25.7316,0.771948,None kPa,N/A,1174,['C'],A,Low temperature calorimetry set up,not stated,,,1914
301.5,26.1082,0.783245,None kPa,N/A,1174,['C'],A,Low temperature calorimetry set up,not stated,,,1914
327.6,26.401,0.792031,None kPa,N/A,1174,['C'],A,Low temperature calorimetry set up,not stated,,,1914
370.8,26.8613,0.805838,None kPa,N/A,1174,['C'],A,Low temperature calorimetry set up,not stated,,,1914
140.0,24.2254,1.21127,101.325 kPa,N/A,1181,['C'],A,Not Described,not stated,,,1914
200.0,25.0622,1.25311,None kPa,N/A,1181,['C'],A,Not Described,not stated,,,1914
260.0,25.6898,1.28449,None kPa,N/A,1181,['C'],A,Not Described,not stated,,,1914
300.0,26.1082,1.30541,None kPa,N/A,1181,['C'],A,Not Described,not stated,,,1914
340.0,26.4847,1.32424,None kPa,N/A,1181,['C'],A,Not Described,not stated,,,1914
380.0,26.945,1.34725,None kPa,N/A,1181,['C'],A,Not Described,not stated,,,1914
69.66,19.5393,0.976964,None kPa,N/A,1867,['C'],A,Low temperature calorimetry set up,not stated,,,1923
72.4,19.8322,0.991608,None kPa,N/A,1867,['C'],A,Low temperature calorimetry set up,not stated,,,1923
74.97,20.125,1.00625,None kPa,N/A,1867,['C'],A,Low temperature calorimetry set up,not stated,,,1923
77.56,20.4179,1.0209,None kPa,N/A,1867,['C'],A,Low temperature calorimetry set up,not stated,,,1923
80.09,20.7526,1.03763,None kPa,N/A,1867,['C'],A,Low temperature calorimetry set up,not stated,,,1923
82.59,20.8363,1.04182,None kPa,N/A,1867,['C'],A,Low temperature calorimetry set up,not stated,,,1923
85.06,21.0874,1.05437,None kPa,N/A,1867,['C'],A,Low temperature calorimetry set up,not stated,,,1923
87.7,21.3802,1.06901,None kPa,N/A,1867,['C'],A,Low temperature calorimetry set up,not stated,,,1923
89.91,21.5476,1.07738,None kPa,N/A,1867,['C'],A,Low temperature calorimetry set up,not stated,,,1923
92.39,21.7986,1.08993,None kPa,N/A,1867,['C'],A,Low temperature calorimetry set up,not stated,,,1923
94.7,21.8823,1.09412,None kPa,N/A,1867,['C'],A,Low temperature calorimetry set up,not stated,,,1923
97.08,22.0078,1.10039,None kPa,N/A,1867,['C'],A,Low temperature calorimetry set up,not stated,,,1923
99.37,22.217,1.11085,None kPa,N/A,1867,['C'],A,Low temperature calorimetry set up,not stated,,,1923
298.0,26.15,1.3075,None kPa,N/A,1867,['C'],A,Low temperature calorimetry set up,not stated,,,1923
