Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
1.98,0.0100834,0.000504172,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
2.95,0.013849,0.000692452,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
3.76,0.020125,0.00100625,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
4.55,0.0264429,0.00132214,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
5.44,0.0317566,0.00158783,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
8.06,0.0506264,0.00253132,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
8.98,0.0589944,0.00294972,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
10.01,0.069036,0.0034518,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
11.16,0.0853536,0.00426768,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
2.15,0.00949768,0.000474884,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
8.56,0.056484,0.0028242,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
10.98,0.0853536,0.00426768,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
12.3,0.104182,0.00520908,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
13.45,0.124265,0.00621324,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
14.56,0.139327,0.00696636,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
15.55,0.157318,0.00786592,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
16.44,0.184096,0.0092048,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
17.39,0.213384,0.0106692,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
18.36,0.232212,0.0116106,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
1.88,0.0105018,0.000525092,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
2.62,0.0139327,0.000696636,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
3.27,0.0160247,0.000801236,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
3.8,0.0227191,0.00113596,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
4.55,0.0246438,0.00123219,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
5.33,0.031129,0.00155645,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
6.1,0.0365263,0.00182632,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
6.85,0.0422584,0.00211292,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
7.73,0.0510448,0.00255224,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
8.64,0.0573208,0.00286604,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
9.69,0.0686176,0.00343088,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
10.72,0.0799144,0.00399572,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
11.74,0.09414,0.004707,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
12.81,0.111294,0.00556472,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
13.96,0.132633,0.00663164,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
15.28,0.158992,0.0079496,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
16.68,0.185351,0.00926756,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
18.02,0.22761,0.0113805,None kPa,N/A,5126,['C'],A,Low temperature calorimetry set up,"origin: commercial source,98.8 % (total),chemical analysis,rod",98.8,Not Specified %,1939
79.25,9.48931,0.189786,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
80.1,9.64412,0.192882,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
88.61,11.1336,0.222672,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
95.6,12.4641,0.249283,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
101.85,13.3679,0.267358,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
109.45,14.3009,0.286018,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
116.6,15.5394,0.310788,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
126.22,16.6983,0.333967,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
135.3,17.4347,0.348695,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
143.05,18.1669,0.363339,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
151.11,18.8782,0.377564,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
160.0,19.602,0.392041,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
166.0,20.1125,0.40225,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
179.12,20.874,0.41748,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
186.87,21.3007,0.426015,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
198.0,21.8698,0.437395,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
222.35,22.9953,0.459905,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
247.3,23.5057,0.470114,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
255.9,23.8906,0.477813,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
273.2,24.1249,0.482499,None kPa,N/A,5420,['C'],A,Low temperature calorimetry set up,"not stated,99.4 % (total),",99.4,Not Specified %,1941
1.98,0.0100834,0.000201669,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
2.95,0.013849,0.000276981,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
3.76,0.020125,0.000402501,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
5.44,0.0317566,0.000635131,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
8.0,0.0506264,0.00101253,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
8.98,0.0589944,0.00117989,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
10.01,0.069036,0.00138072,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
11.16,0.0853536,0.00170707,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
12.24,0.100416,0.00200832,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
2.15,0.00949768,0.000189954,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
8.56,0.056484,0.00112968,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
10.98,0.0853536,0.00170707,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
12.3,0.104182,0.00208363,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
14.56,0.139327,0.00278654,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
15.55,0.157318,0.00314637,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
16.44,0.184096,0.00368192,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
17.39,0.213384,0.00426768,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
18.36,0.232212,0.00464424,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
1.88,0.0105018,0.000210037,None kPa,N/A,5777,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.88 %,stated by supplier,rod",98.88,Not Specified %,1945
