Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
56.1,2.65266,0.0530531,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
59.5,3.14637,0.0629274,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
61.1,3.39322,0.0678645,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
63.5,3.56058,0.0712117,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
66.9,4.35973,0.0871946,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
68.0,4.54801,0.0909602,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
72.4,5.2551,0.105102,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
74.2,5.67769,0.113554,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
81.6,6.88686,0.137737,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
84.8,7.43078,0.148616,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
93.2,8.84498,0.1769,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
96.1,9.35961,0.187192,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
105.8,10.9746,0.219493,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
123.1,12.665,0.253299,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
141.6,15.5436,0.310871,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
162.9,17.4891,0.349782,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
181.6,18.8615,0.377229,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
200.1,20.1501,0.403003,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
222.1,21.0999,0.421998,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
244.1,21.9409,0.438818,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
274.0,22.7693,0.455387,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
281.5,22.9241,0.458483,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
291.1,23.1877,0.463755,None kPa,N/A,4789,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.35 % (total),",99.35,Not Specified %,1937
305.61,23.4137,0.234137,101 kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
320.51,23.853,0.23853,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
338.83,24.0413,0.240413,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
358.7,24.7023,0.247023,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
383.05,25.4806,0.254806,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
405.05,25.9952,0.259952,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
443.45,26.1374,0.261374,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
466.95,26.4931,0.264931,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
478.45,26.7567,0.267567,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
511.25,26.627,0.26627,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
527.05,27.5516,0.275516,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
544.75,27.6646,0.276646,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
584.95,27.6479,0.276479,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
624.75,27.7357,0.277357,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
662.75,27.9533,0.279533,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
699.35,28.3633,0.283633,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
744.45,28.0579,0.280579,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
771.75,28.4135,0.284135,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
799.05,29.38,0.2938,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
829.15,29.6604,0.296604,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
863.05,29.6813,0.296813,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
900.15,30.0955,0.300955,None kPa,N/A,6418,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),estimated by the compiler,plate",99.9,Not Specified %,1950
