Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
273.15,29.0788,0.872364,None kPa,N/A,1080,['C'],A,Drop calorimetry,not stated,,,1913
18.6591,19.3702,0.0193702,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
22.3541,20.7714,0.0207714,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
26.9647,22.0633,0.0220633,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
29.5453,22.5956,0.0225956,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
31.6164,22.9584,0.0229584,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
33.7887,23.2694,0.0232694,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
35.3997,23.4468,0.0234468,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
39.6794,23.7698,0.0237698,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
43.7281,24.0089,0.0240089,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
49.928,24.2999,0.0243,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
57.516,24.6069,0.0246069,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
64.7253,24.8699,0.0248699,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
74.4211,25.1848,0.0251848,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
84.4564,25.4618,0.0254618,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
99.3257,25.7985,0.0257985,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
109.558,26.0216,0.0260216,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
120.075,26.2767,0.0262767,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
126.049,26.4341,0.0264341,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
132.121,26.5736,0.0265736,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
143.315,26.7688,0.0267688,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
160.45,26.9779,0.0269779,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
175.722,27.1232,0.0271232,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
185.534,27.2447,0.0272447,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
193.813,27.3562,0.0273562,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
200.608,27.4538,0.0274538,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
207.161,27.5813,0.0275813,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
218.111,27.8144,0.0278144,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
226.76,28.0635,0.0280635,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
233.969,28.3206,0.0283205,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
242.466,28.6454,0.0286454,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
249.624,28.9424,0.0289424,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
258.686,29.3569,0.0293569,None kPa,N/A,8503,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
252.294,29.0549,0.0290549,None kPa,N/A,8504,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
256.332,29.3296,0.0293296,None kPa,N/A,8504,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
259.625,29.4326,0.0294326,None kPa,N/A,8504,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
20.0,19.7579,0.0197579,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
25.0,21.2649,0.0212649,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
30.0,22.437,0.022437,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
35.0,23.2742,0.0232742,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
40.0,23.7765,0.0237765,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
45.0,24.0695,0.0240695,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
50.0,24.2788,0.0242788,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
55.0,24.4462,0.0244462,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
60.0,24.6555,0.0246555,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
70.0,24.9904,0.0249904,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
80.0,25.2834,0.0252834,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
90.0,25.5765,0.0255765,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
100.0,25.7858,0.0257858,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
110.0,26.0369,0.0260369,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
120.0,26.2462,0.0262462,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
130.0,26.4974,0.0264974,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
140.0,26.7067,0.0267067,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
150.0,26.8323,0.0268323,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
160.0,26.9578,0.0269578,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
170.0,27.0416,0.0270416,None kPa,N/A,8506,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 % (total),spectroscopy",99.7,Not Specified %,1955
