Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
88.0,14.1419,0.141419,None kPa,N/A,879,['C'],A,Low temperature calorimetry set up,not stated,,,1911
87.0,14.0582,0.140582,None kPa,N/A,879,['C'],A,Low temperature calorimetry set up,not stated,,,1911
87.0,13.8072,0.138072,None kPa,N/A,879,['C'],A,Low temperature calorimetry set up,not stated,,,1911
33.4,2.25099,0.0225099,None kPa,N/A,879,['C'],A,Low temperature calorimetry set up,not stated,,,1911
27.7,1.35562,0.0135562,None kPa,N/A,879,['C'],A,Low temperature calorimetry set up,not stated,,,1911
23.5,0.933032,0.00933032,None kPa,N/A,879,['C'],A,Low temperature calorimetry set up,not stated,,,1911
23.5,0.92048,0.0368192,None kPa,N/A,909,['C'],A,not stated,1313,,,1912
27.7,1.33888,0.0535552,None kPa,N/A,909,['C'],A,not stated,1313,,,1912
33.4,2.25936,0.0903744,None kPa,N/A,909,['C'],A,not stated,1313,,,1912
87.0,13.9327,0.557309,None kPa,N/A,909,['C'],A,not stated,1313,,,1912
88.0,14.1419,0.565677,None kPa,N/A,909,['C'],A,not stated,1313,,,1912
137.0,19.1209,0.764835,None kPa,N/A,909,['C'],A,not stated,1313,,,1912
234.0,23.3886,0.935542,None kPa,N/A,909,['C'],A,not stated,1313,,,1912
290.0,24.2254,0.969014,None kPa,N/A,909,['C'],A,not stated,1313,,,1912
323.0,24.6856,0.987424,None kPa,N/A,909,['C'],A,not stated,1313,,,1912
450.0,25.4806,1.01922,None kPa,N/A,909,['C'],A,not stated,1313,,,1912
138.0,20.669,0.620069,None kPa,N/A,1171,['C'],A,Low temperature calorimetry set up,not stated,,,1914
149.5,21.1292,0.633876,None kPa,N/A,1171,['C'],A,Low temperature calorimetry set up,not stated,,,1914
171.4,21.8823,0.65647,None kPa,N/A,1171,['C'],A,Low temperature calorimetry set up,not stated,,,1914
204.9,22.8446,0.685339,None kPa,N/A,1171,['C'],A,Low temperature calorimetry set up,not stated,,,1914
273.1,24.1835,0.725506,None kPa,N/A,1171,['C'],A,Low temperature calorimetry set up,not stated,,,1914
301.6,24.5601,0.736802,None kPa,N/A,1171,['C'],A,Low temperature calorimetry set up,not stated,,,1914
336.7,24.8948,0.746844,None kPa,N/A,1171,['C'],A,Low temperature calorimetry set up,not stated,,,1914
340.5,24.9785,0.749354,None kPa,N/A,1171,['C'],A,Low temperature calorimetry set up,not stated,,,1914
370.5,25.3132,0.759396,None kPa,N/A,1171,['C'],A,Low temperature calorimetry set up,not stated,,,1914
130.0,19.9995,0.999976,101.325 kPa,N/A,1178,['C'],A,Not Described,not stated,,,1914
170.0,21.8823,1.09412,None kPa,N/A,1178,['C'],A,Not Described,not stated,,,1914
210.0,23.012,1.1506,None kPa,N/A,1178,['C'],A,Not Described,not stated,,,1914
250.0,23.8488,1.19244,None kPa,N/A,1178,['C'],A,Not Described,not stated,,,1914
