Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
140.3,17.9912,0.539736,None kPa,N/A,1170,['C'],A,Low temperature calorimetry set up,not stated,,,1914
214.3,22.5936,0.677808,None kPa,N/A,1170,['C'],A,Low temperature calorimetry set up,not stated,,,1914
267.0,24.3927,0.731782,None kPa,N/A,1170,['C'],A,Low temperature calorimetry set up,not stated,,,1914
273.1,24.4346,0.733037,None kPa,N/A,1170,['C'],A,Low temperature calorimetry set up,not stated,,,1914
274.0,24.4346,0.733037,None kPa,N/A,1170,['C'],A,Low temperature calorimetry set up,not stated,,,1914
283.1,24.7693,0.743078,None kPa,N/A,1170,['C'],A,Low temperature calorimetry set up,not stated,,,1914
294.1,25.1877,0.75563,None kPa,N/A,1170,['C'],A,Low temperature calorimetry set up,not stated,,,1914
297.6,25.2295,0.756886,None kPa,N/A,1170,['C'],A,Low temperature calorimetry set up,not stated,,,1914
323.4,25.8153,0.774458,None kPa,N/A,1170,['C'],A,Low temperature calorimetry set up,not stated,,,1914
339.4,25.9826,0.779479,None kPa,N/A,1170,['C'],A,Low temperature calorimetry set up,not stated,,,1914
370.6,26.5684,0.797052,None kPa,N/A,1170,['C'],A,Low temperature calorimetry set up,not stated,,,1914
150.0,18.828,0.9414,101.325 kPa,N/A,1177,['C'],A,Not Described,not stated,,,1914
210.0,22.4262,1.12131,None kPa,N/A,1177,['C'],A,Not Described,not stated,,,1914
250.0,23.8488,1.19244,None kPa,N/A,1177,['C'],A,Not Described,not stated,,,1914
310.0,25.4806,1.27403,None kPa,N/A,1177,['C'],A,Not Described,not stated,,,1914
350.0,26.2755,1.31378,None kPa,N/A,1177,['C'],A,Not Described,not stated,,,1914
390.0,26.8194,1.34097,None kPa,N/A,1177,['C'],A,Not Described,not stated,,,1914
16.9,0.156147,0.0023422,101.325 kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
20.25,0.228739,0.00343109,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
24.66,0.372836,0.00559254,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
26.8,0.4707,0.0070605,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
29.35,0.599149,0.00898723,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
32.4,0.829269,0.012439,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
36.85,1.17821,0.0176732,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
40.0,1.53678,0.0230517,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
43.0,1.93845,0.0290767,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
50.82,3.09323,0.0463985,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
59.05,4.54382,0.0681574,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
69.8,6.5647,0.0984704,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
74.95,7.54375,0.113156,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
84.0,9.12949,0.136942,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
91.25,10.4056,0.156084,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
100.55,11.9579,0.179368,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
109.9,13.3888,0.200832,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
120.5,14.8658,0.222986,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
129.95,16.0791,0.241187,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
139.02,17.0456,0.255684,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
148.52,18.0414,0.270621,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
158.1,18.828,0.28242,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
167.44,19.5811,0.293717,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
178.8,20.3552,0.305327,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
189.64,20.9828,0.314741,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
197.23,21.4346,0.321519,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
205.59,21.9451,0.329176,None kPa,N/A,3200,['C'],A,Low temperature calorimetry set up,"not stated,99.5 weight % (total),estimated by the compiler",99.5,Weight %,1930
54.6,3.865,0.011595,None kPa,N/A,5731,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.94 % (total),chemical analysis,sheet",99.94,Not Specified %,1943
57.8,4.422,0.013266,None kPa,N/A,5731,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.94 % (total),chemical analysis,sheet",99.94,Not Specified %,1943
61.4,5.074,0.015222,None kPa,N/A,5731,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.94 % (total),chemical analysis,sheet",99.94,Not Specified %,1943
65.6,5.886,0.017658,None kPa,N/A,5731,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.94 % (total),chemical analysis,sheet",99.94,Not Specified %,1943
69.4,6.622,0.019866,None kPa,N/A,5731,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.94 % (total),chemical analysis,sheet",99.94,Not Specified %,1943
73.7,7.45,0.02235,None kPa,N/A,5731,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.94 % (total),chemical analysis,sheet",99.94,Not Specified %,1943
82.2,9.011,0.027033,None kPa,N/A,5731,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.94 % (total),chemical analysis,sheet",99.94,Not Specified %,1943
86.2,9.73,0.02919,None kPa,N/A,5731,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.94 % (total),chemical analysis,sheet",99.94,Not Specified %,1943
95.1,11.27,0.03381,None kPa,N/A,5731,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.94 % (total),chemical analysis,sheet",99.94,Not Specified %,1943
105.0,12.81,0.03843,None kPa,N/A,5731,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.94 % (total),chemical analysis,sheet",99.94,Not Specified %,1943
