Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
15,1.42256,0.0213384,0.266645 kPa,N/A,2837,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
20,2.25936,0.0180749,None kPa,N/A,2837,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
30,4.85344,0.0388275,None kPa,N/A,2837,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
40,7.9496,0.0635968,None kPa,N/A,2837,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
50,10.3763,0.0830106,None kPa,N/A,2837,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
60,12.803,0.102424,None kPa,N/A,2837,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
80,17.3636,0.138909,None kPa,N/A,2837,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
100,19.5393,0.0586178,None kPa,N/A,2837,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
120,20.7945,0.0623834,None kPa,N/A,2837,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
140,22.0078,0.0660235,None kPa,N/A,2837,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
160,23.3049,0.0699146,None kPa,N/A,2837,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
180,24.0998,0.0722995,None kPa,N/A,2837,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
200,24.5182,0.0735547,None kPa,N/A,2837,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1928
0.3532,7.34E-05,2.94E-06,None kPa,N/A,10500,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.999 % (total),stated by supplier,ingot",99.999,Not Specified %,1958
0.3535,7.44E-05,2.98E-06,None kPa,N/A,10500,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.999 % (total),stated by supplier,ingot",99.999,Not Specified %,1958
