Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
20.0,0.93889,0.00281667,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
25.0,1.751,0.00525301,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
30.0,2.67148,0.00801445,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
35.0,3.59238,0.0107771,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
40.0,4.49362,0.0134808,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
45.0,5.3597,0.0160791,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
50.0,6.26345,0.0187903,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
52.5,6.67766,0.020033,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
55.0,7.02075,0.0210623,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
60.0,7.8701,0.0236103,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
65.0,8.70272,0.0261082,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
70.0,9.53115,0.0285935,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
75.0,10.3428,0.0310285,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
80.0,11.1378,0.0334134,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
85.0,11.8784,0.0356351,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
90.0,12.5478,0.0376434,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
95.0,13.2131,0.0396392,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
100.0,13.8449,0.0415346,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
105.0,14.4976,0.0434927,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
110.0,15.054,0.0451621,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
115.0,15.6147,0.0468441,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
120.0,16.1377,0.0484131,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
125.0,16.644,0.0499319,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
130.0,17.0958,0.0512875,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
135.0,17.5268,0.0525803,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
140.0,17.9619,0.0538857,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
145.0,18.305,0.054915,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
150.0,18.6314,0.0558941,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
155.0,18.92,0.0567601,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
160.0,19.1544,0.0574631,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
165.0,19.4054,0.0582162,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
170.0,19.6397,0.0589191,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
175.0,19.8573,0.0595718,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
180.0,20.0748,0.0602245,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
185.0,20.2882,0.0608646,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
190.0,20.4723,0.0614169,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
195.0,20.6857,0.0620571,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
200.0,20.8865,0.0626596,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
