Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
9.23,0.16736,0.008368,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
10.35,0.297064,0.014853,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
10.38,0.012552,0.000628,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
11.85,0.623416,0.031171,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
13.45,0.874456,0.043723,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
14.2,1.00416,0.050208,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
16.23,1.48114,0.074057,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
18.49,2.08363,0.104182,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
20.43,2.7196,0.13598,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
21.3,3.36394,0.168197,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
23,3.97062,0.198531,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
25.24,4.81997,0.240998,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
26.84,5.29276,0.264638,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
27.05,5.49359,0.27468,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
29.69,6.48102,0.324051,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
34.26,7.71111,0.385556,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
37.04,9.07091,0.453546,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
39.71,9.94955,0.497478,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
50.44,12.3051,0.615257,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
51.63,13.1043,0.655214,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
52.79,13.1419,0.657097,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
54.71,13.4557,0.672787,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
55.79,13.5394,0.676971,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
55.83,14.2549,0.712744,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
57.08,13.7528,0.68764,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
57.7,14.1419,0.707096,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
57.85,13.5101,0.675507,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
58.11,13.1963,0.659817,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
58.79,14.0038,0.700192,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
60.72,14.1754,0.70877,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
61.92,14.3553,0.717765,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
62.85,14.28,0.714,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
63.59,14.5603,0.728016,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
63.83,15.2632,0.763162,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
64.15,14.4264,0.721322,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
64.77,14.6147,0.730736,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
65.77,14.3051,0.715255,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
66.55,14.8197,0.740986,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
67.3,16.0456,0.802282,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
67.38,14.1419,0.707096,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
68,14.9327,0.746635,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
68.37,14.3971,0.719857,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
69.52,14.0415,0.702075,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
69.94,15.3846,0.769228,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
70.41,15.962,0.798098,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
70.42,15.531,0.77655,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
71.26,16.2507,0.812533,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
71.35,16.4096,0.820482,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
73.01,15.9912,0.799562,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
73.44,18.305,0.91525,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
73.53,19.351,0.96755,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
73.54,17.1628,0.858138,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
74.67,18.9452,0.947258,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
74.73,21.0748,1.05374,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
74.78,19.3343,0.966713,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
74.96,19.4974,0.974872,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
75.53,19.5016,0.975081,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
75.64,19.8238,0.99119,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
76.78,20.1543,1.00772,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
77.67,21.3468,1.06734,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
78.5,20.0455,1.00228,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
80.22,19.6774,0.983868,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
80.39,20.4137,1.02069,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
81.73,18.7192,0.935961,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
83.62,17.7109,0.885544,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
86.07,14.2382,0.711908,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
86.96,14.8532,0.74266,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
87.34,13.8114,0.690569,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
88.83,15.3385,0.766927,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
89.51,15.6523,0.782617,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
89.9,15.1168,0.75584,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
90.81,14.7946,0.739731,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
91.94,15.2005,0.760024,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
92.92,15.9494,0.79747,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
93.46,15.3176,0.765881,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
93.74,15.1377,0.756886,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
94.45,16.1586,0.80793,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
96.03,15.4431,0.772157,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
96.18,16.0917,0.804583,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
97.94,16.2841,0.814206,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
98.47,15.5226,0.776132,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
100.46,16.5645,0.828223,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
101.89,16.4348,0.821738,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
102.75,17.2172,0.860858,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
105.21,17.0121,0.850607,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
105.87,17.4389,0.871946,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
105.98,16.4933,0.824666,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
107.37,17.3469,0.867343,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
108.62,17.4849,0.874247,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
156.54,22.8823,1.14411,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
167.3,22.4137,1.12068,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
170.61,20.8614,1.04307,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
172.59,21.5894,1.07947,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
173.98,21.5476,1.07738,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
174.23,21.6899,1.08449,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
175.91,21.4723,1.07361,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
177.42,21.5978,1.07989,None kPa,N/A,3988,['C'],A,Low temperature calorimetry set up,not stated,,,1934
