Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
20,0.93889,0.00281667,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
25,1.751,0.00525301,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
30,2.67148,0.00801445,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
35,3.59238,0.0107771,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
40,4.49362,0.0134808,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
45,5.3597,0.0160791,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
50,6.26345,0.0187903,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
52.5,6.67766,0.020033,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
55,7.02075,0.0210623,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
60,7.8701,0.0236103,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
65,8.70272,0.0261082,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
70,9.53115,0.0285935,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
75,10.3428,0.0310285,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
80,11.1378,0.0334134,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
85,11.8784,0.0356351,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
90,12.5478,0.0376434,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
95,13.2131,0.0396392,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
100,13.8449,0.0415346,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
105,14.4976,0.0434927,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
110,15.054,0.0451621,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
115,15.6147,0.0468441,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
120,16.1377,0.0484131,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
125,16.644,0.0499319,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
130,17.0958,0.0512875,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
135,17.5268,0.0525803,None kPa,N/A,7177,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1952
