Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
14.67,0.25104,0.012552,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
20.84,0.71128,0.035564,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
22.46,0.96232,0.048116,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
24.18,1.08784,0.054392,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
27.12,1.54808,0.077404,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
31.35,2.25936,0.112968,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
34.49,4.01664,0.200832,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
35.84,4.35136,0.217568,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
36.85,4.76976,0.238488,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
38.68,6.02496,0.301248,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
40.92,6.23416,0.311708,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
43.15,11.1294,0.556472,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
45.18,10.7947,0.539736,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
46.17,13.9746,0.698728,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
50.09,16.4013,0.820064,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
50.28,17.4473,0.872364,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
52.18,19.1209,0.956044,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
52.32,18.577,0.928848,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
54.74,21.5894,1.07947,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
56.56,23.5141,1.1757,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
58.57,31.2545,1.56272,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
60.87,32.1331,1.60666,None kPa,N/A,3990,['C'],A,Low temperature calorimetry set up,not stated,,,1934
