Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
61.65,22.3426,0.335138,None kPa,N/A,883,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
62.15,22.3007,0.334511,None kPa,N/A,883,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
65.15,22.4681,0.337021,None kPa,N/A,883,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
66.15,22.489,0.337335,None kPa,N/A,883,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
69.15,22.7191,0.340787,None kPa,N/A,883,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
79.15,23.1794,0.34769,None kPa,N/A,883,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
82.15,23.4932,0.352397,None kPa,N/A,883,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
86.15,23.6814,0.355222,None kPa,N/A,883,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
90.15,23.8279,0.357418,None kPa,N/A,883,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
94.15,24.058,0.36087,None kPa,N/A,883,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
201.15,26.8613,0.402919,None kPa,N/A,883,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
206.15,26.9031,0.403547,None kPa,N/A,883,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
209.15,27.2797,0.409195,None kPa,N/A,883,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
214.15,27.5307,0.412961,None kPa,N/A,883,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
228.15,27.6981,0.415471,None kPa,N/A,883,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
230.15,27.6562,0.414844,None kPa,N/A,883,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
233.15,29.0788,0.436182,None kPa,N/A,883,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
233.15,28.0328,0.420492,None kPa,N/A,883,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
31.1,16.2758,0.162758,None kPa,N/A,1065,['C'],A,Low temperature calorimetry set up,not stated,,,1913
36.6,18.2422,0.182422,None kPa,N/A,1065,['C'],A,Low temperature calorimetry set up,not stated,,,1913
43.0,19.6648,0.196648,None kPa,N/A,1065,['C'],A,Low temperature calorimetry set up,not stated,,,1913
62.0,22.3426,0.223426,None kPa,N/A,1065,['C'],A,Low temperature calorimetry set up,not stated,,,1913
65.0,22.4681,0.224681,None kPa,N/A,1065,['C'],A,Low temperature calorimetry set up,not stated,,,1913
69.0,22.7191,0.227191,None kPa,N/A,1065,['C'],A,Low temperature calorimetry set up,not stated,,,1913
80.5,23.3467,0.233467,None kPa,N/A,1065,['C'],A,Low temperature calorimetry set up,not stated,,,1913
86.0,23.6814,0.236814,None kPa,N/A,1065,['C'],A,Low temperature calorimetry set up,not stated,,,1913
92.0,24.2254,0.242254,None kPa,N/A,1065,['C'],A,Low temperature calorimetry set up,not stated,,,1913
164.0,26.1918,0.261918,None kPa,N/A,1065,['C'],A,Low temperature calorimetry set up,not stated,,,1913
168.0,26.3174,0.263174,None kPa,N/A,1065,['C'],A,Low temperature calorimetry set up,not stated,,,1913
201.0,26.8613,0.268613,None kPa,N/A,1065,['C'],A,Low temperature calorimetry set up,not stated,,,1913
207.0,27.0914,0.270914,None kPa,N/A,1065,['C'],A,Low temperature calorimetry set up,not stated,,,1913
