Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
406.28,26.9868,0.269868,None kPa,N/A,3902,['C'],A,Drop calorimetry,not stated,,,1933
431.15,27.1123,0.271123,None kPa,N/A,3902,['C'],A,Drop calorimetry,not stated,,,1933
481.08,27.6981,0.276981,None kPa,N/A,3902,['C'],A,Drop calorimetry,not stated,,,1933
531.11,28.242,0.28242,None kPa,N/A,3902,['C'],A,Drop calorimetry,not stated,,,1933
579.91,28.7441,0.287441,None kPa,N/A,3902,['C'],A,Drop calorimetry,not stated,,,1933
630.57,29.3298,0.293298,None kPa,N/A,3902,['C'],A,Drop calorimetry,not stated,,,1933
681.2,29.7901,0.297901,None kPa,N/A,3902,['C'],A,Drop calorimetry,not stated,,,1933
731.39,30.3758,0.303758,None kPa,N/A,3902,['C'],A,Drop calorimetry,not stated,,,1933
781.33,31.0034,0.310034,None kPa,N/A,3902,['C'],A,Drop calorimetry,not stated,,,1933
11.13,0.07322,0.00108784,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
11.45,0.0765672,0.00112968,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
12.58,0.0912112,0.00138072,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
13.06,0.11506,0.00171544,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
13.86,0.127194,0.00192464,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
15.04,0.169034,0.00255224,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
15.24,0.165686,0.00246856,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
16.37,0.205434,0.00309616,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
17.1,0.235141,0.00351456,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
17.38,0.248111,0.00372376,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
18.46,0.302085,0.00451872,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
19.58,0.369866,0.00556472,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
19.67,0.374468,0.00560656,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
21.04,0.475302,0.00380744,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
22.22,0.587852,0.00468608,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
22.25,0.563585,0.00451872,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
22.57,0.616303,0.00493712,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
23.42,0.723414,0.00577392,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
24.55,0.858975,0.00686176,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
24.92,0.910438,0.00728016,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
25.69,1.03387,0.00828432,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
29.08,1.62423,0.0130122,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
32.82,2.36061,0.0188698,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
36.97,3.48318,0.0278654,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
41.57,4.79905,0.0384928,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
46.8,6.37642,0.0510448,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
51.99,7.89102,0.0631784,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
55.49,8.84498,0.0707096,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
56.81,9.23827,0.0740568,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
58.75,9.76964,0.0782408,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
61.77,10.8784,0.0870272,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
61.94,10.4809,0.08368,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
64.9,11.3094,0.0903744,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
66.99,12.0123,0.096232,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
67.92,11.9872,0.0958136,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
71.16,12.7026,0.101671,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
74.38,13.3972,0.10711,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
77.54,13.9997,0.112131,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
82.15,14.6524,0.043932,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
85.91,15.3134,0.046024,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
89.98,15.9829,0.048116,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
94.01,16.485,0.0493712,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
98.74,17.3176,0.0518816,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
103.55,17.8364,0.0535552,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
108.42,18.2673,0.0548104,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
113.33,18.9242,0.0569024,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
118.19,19.3343,0.0581576,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
123.04,19.6481,0.0589944,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
129.05,20.2213,0.060668,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
134.09,20.6606,0.0619232,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
139.19,21.0539,0.0631784,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
143.62,21.1669,0.0635968,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
149.52,21.6104,0.064852,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
155.1,21.7317,0.0652704,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
160.95,22.0497,0.0661072,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
166.22,22.1919,0.0665256,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
172.32,22.4764,0.0673624,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
177.71,22.7108,0.0681992,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
184.22,22.9451,0.069036,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
189.67,23.2379,0.0698728,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
196.51,23.4053,0.0702912,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
199.45,23.3509,0.0698728,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
199.87,23.4973,0.0702912,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
202.04,23.5099,0.0707096,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
205.45,23.5559,0.0707096,None kPa,N/A,8480,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
