Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
273.15,28.242,0.84726,None kPa,N/A,1072,['C'],A,Drop calorimetry,not stated,,,1913
14.71,5.14632,0.102926,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
17.3,7.48936,0.149787,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
19,8.53536,0.170707,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
22.83,11.255,0.225099,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
24.21,12.1336,0.242672,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
31.05,15.69,0.3138,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
36,17.4891,0.349782,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
41.2,19.0372,0.380744,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
47.2,20.5016,0.410032,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
54,21.7568,0.435136,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
64.1,22.5099,0.450198,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
71.8,23.012,0.46024,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
92.5,24.4346,0.488691,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
98.3,24.5182,0.490365,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
140.4,25.8153,0.516306,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
201.1,27.1332,0.542665,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
207.8,27.196,0.54392,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
214.5,27.196,0.54392,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
220,28.0328,0.560656,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
225.5,27.5726,0.551451,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
232.1,27.8027,0.556054,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
276.5,28.8696,0.577392,None kPa,N/A,2366,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
30.712,15.9471,0.0159471,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
31.8573,16.4349,0.0164349,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
33.1153,16.9417,0.0169417,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
34.3165,17.1476,0.0171476,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
36.0475,17.9712,0.0179712,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
38.1339,18.5794,0.0185794,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
40.3302,19.2478,0.0192478,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
45.7659,20.2964,0.0202964,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
47.6801,20.629,0.020629,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
49.7083,20.9585,0.0209585,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
52.2617,21.3831,0.0213831,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
55.4203,21.8393,0.0218394,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
58.7345,22.2354,0.0222354,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
62.8463,22.6221,0.0226221,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
66.8488,22.9359,0.0229359,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
70.7739,23.275,0.023275,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
74.662,23.5983,0.0235983,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
77.6464,23.8107,0.0238107,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
80.7426,24.0547,0.0240547,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
84.6757,24.2672,0.0242672,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
88.1926,24.4606,0.0244606,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
91.7521,24.5811,0.0245811,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
95.7286,24.7081,0.0247081,None kPa,N/A,8493,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),spectroscopy",99.99,Not Specified %,1955
