Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
4.5,0.106274,0.00106274,None kPa,N/A,6869,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.938 % (total),estimated by the compiler,rod",99.938,Not Specified %,1951
5.0,0.138072,0.00138072,None kPa,N/A,6869,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.938 % (total),estimated by the compiler,rod",99.938,Not Specified %,1951
6.0,0.221752,0.00221752,None kPa,N/A,6869,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.938 % (total),estimated by the compiler,rod",99.938,Not Specified %,1951
8.0,0.50208,0.0050208,None kPa,N/A,6869,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.938 % (total),estimated by the compiler,rod",99.938,Not Specified %,1951
10.0,1.08784,0.0108784,None kPa,N/A,6869,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.938 % (total),estimated by the compiler,rod",99.938,Not Specified %,1951
15.0,3.32628,0.0332628,None kPa,N/A,6869,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.938 % (total),estimated by the compiler,rod",99.938,Not Specified %,1951
20.0,6.19232,0.0619232,None kPa,N/A,6869,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.938 % (total),estimated by the compiler,rod",99.938,Not Specified %,1951
30.0,11.757,0.11757,None kPa,N/A,6869,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.938 % (total),estimated by the compiler,rod",99.938,Not Specified %,1951
40.0,15.69,0.1569,None kPa,N/A,6869,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.938 % (total),estimated by the compiler,rod",99.938,Not Specified %,1951
50.0,18.4514,0.184514,None kPa,N/A,6869,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.938 % (total),estimated by the compiler,rod",99.938,Not Specified %,1951
60.0,20.2087,0.202087,None kPa,N/A,6869,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.938 % (total),estimated by the compiler,rod",99.938,Not Specified %,1951
80.0,22.3426,0.223426,None kPa,N/A,6869,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.938 % (total),estimated by the compiler,rod",99.938,Not Specified %,1951
100.0,23.5978,0.235978,None kPa,N/A,6869,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.938 % (total),estimated by the compiler,rod",99.938,Not Specified %,1951
120.0,24.4764,0.244764,None kPa,N/A,6869,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.938 % (total),estimated by the compiler,rod",99.938,Not Specified %,1951
140.0,25.0203,0.250203,None kPa,N/A,6869,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.938 % (total),estimated by the compiler,rod",99.938,Not Specified %,1951
160.0,25.4806,0.254806,None kPa,N/A,6869,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.938 % (total),estimated by the compiler,rod",99.938,Not Specified %,1951
180.0,25.9408,0.259408,None kPa,N/A,6869,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.938 % (total),estimated by the compiler,rod",99.938,Not Specified %,1951
