Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
74.9,12.1336,0.121336,None kPa,N/A,1394,['C'],A,Vacuum adiabatic calorimetry,"not stated,98 % (total),estimated by the compiler",98.0,Not Specified %,1918
78.3,12.6775,0.126775,None kPa,N/A,1394,['C'],A,Vacuum adiabatic calorimetry,"not stated,98 % (total),estimated by the compiler",98.0,Not Specified %,1918
83.5,13.9327,0.139327,None kPa,N/A,1394,['C'],A,Vacuum adiabatic calorimetry,"not stated,98 % (total),estimated by the compiler",98.0,Not Specified %,1918
92.1,15.1042,0.151042,None kPa,N/A,1394,['C'],A,Vacuum adiabatic calorimetry,"not stated,98 % (total),estimated by the compiler",98.0,Not Specified %,1918
101.5,16.6942,0.166942,None kPa,N/A,1394,['C'],A,Vacuum adiabatic calorimetry,"not stated,98 % (total),estimated by the compiler",98.0,Not Specified %,1918
114.5,18.7025,0.187025,None kPa,N/A,1394,['C'],A,Vacuum adiabatic calorimetry,"not stated,98 % (total),estimated by the compiler",98.0,Not Specified %,1918
115.8,18.577,0.18577,None kPa,N/A,1394,['C'],A,Vacuum adiabatic calorimetry,"not stated,98 % (total),estimated by the compiler",98.0,Not Specified %,1918
132.7,19.9577,0.199577,None kPa,N/A,1394,['C'],A,Vacuum adiabatic calorimetry,"not stated,98 % (total),estimated by the compiler",98.0,Not Specified %,1918
155.2,21.2547,0.212547,None kPa,N/A,1394,['C'],A,Vacuum adiabatic calorimetry,"not stated,98 % (total),estimated by the compiler",98.0,Not Specified %,1918
172.4,22.217,0.22217,None kPa,N/A,1394,['C'],A,Vacuum adiabatic calorimetry,"not stated,98 % (total),estimated by the compiler",98.0,Not Specified %,1918
192.6,23.2212,0.232212,None kPa,N/A,1394,['C'],A,Vacuum adiabatic calorimetry,"not stated,98 % (total),estimated by the compiler",98.0,Not Specified %,1918
220.0,24.3509,0.243509,None kPa,N/A,1394,['C'],A,Vacuum adiabatic calorimetry,"not stated,98 % (total),estimated by the compiler",98.0,Not Specified %,1918
237.3,24.3927,0.243927,None kPa,N/A,1394,['C'],A,Vacuum adiabatic calorimetry,"not stated,98 % (total),estimated by the compiler",98.0,Not Specified %,1918
253.5,25.0203,0.250203,None kPa,N/A,1394,['C'],A,Vacuum adiabatic calorimetry,"not stated,98 % (total),estimated by the compiler",98.0,Not Specified %,1918
255.2,24.5182,0.245182,None kPa,N/A,1394,['C'],A,Vacuum adiabatic calorimetry,"not stated,98 % (total),estimated by the compiler",98.0,Not Specified %,1918
288.5,25.5642,0.255642,None kPa,N/A,1394,['C'],A,Vacuum adiabatic calorimetry,"not stated,98 % (total),estimated by the compiler",98.0,Not Specified %,1918
373.15,26.1918,0.261918,None kPa,N/A,1929,['C'],A,Drop calorimetry,"origin: commercial source,99.8 % (total),,rod",99.8,Not Specified %,1924
473.15,27.2797,0.272797,None kPa,N/A,1929,['C'],A,Drop calorimetry,"origin: commercial source,99.8 % (total),,rod",99.8,Not Specified %,1924
573.15,28.3675,0.283675,None kPa,N/A,1929,['C'],A,Drop calorimetry,"origin: commercial source,99.8 % (total),,rod",99.8,Not Specified %,1924
673.15,29.4554,0.294554,None kPa,N/A,1929,['C'],A,Drop calorimetry,"origin: commercial source,99.8 % (total),,rod",99.8,Not Specified %,1924
773.15,30.5432,0.305432,None kPa,N/A,1929,['C'],A,Drop calorimetry,"origin: commercial source,99.8 % (total),,rod",99.8,Not Specified %,1924
873.15,31.6729,0.316729,None kPa,N/A,1929,['C'],A,Drop calorimetry,"origin: commercial source,99.8 % (total),,rod",99.8,Not Specified %,1924
343.15,27.5726,1.37863,None kPa,N/A,2492,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1927
343.15,27.9073,1.39536,None kPa,N/A,2492,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1927
430.15,27.5726,1.37863,None kPa,N/A,2492,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1927
373.15,27.9491,1.39746,None kPa,N/A,2492,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1927
374.15,27.7399,1.387,None kPa,N/A,2492,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1927
374.15,27.4889,1.37444,None kPa,N/A,2492,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1927
374.15,27.447,1.37235,None kPa,N/A,2492,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1927
376.15,27.5307,1.37654,None kPa,N/A,2492,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1927
376.15,27.6144,1.38072,None kPa,N/A,2492,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1927
375.15,27.6144,1.38072,None kPa,N/A,2492,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1927
376.15,27.991,1.39955,None kPa,N/A,2492,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1927
376.15,27.8236,1.39118,None kPa,N/A,2492,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1927
376.15,27.8654,1.39327,None kPa,N/A,2492,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1927
376.15,27.8654,1.39327,None kPa,N/A,2492,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1927
416.15,27.6562,1.38281,None kPa,N/A,2492,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1927
416.15,27.8236,1.39118,None kPa,N/A,2492,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1927
314.15,27.8654,1.39327,None kPa,N/A,2492,['C'],A,Adiabatic calorimeter (non-vacuum) ,not stated,,,1927
11.31,0.054392,0.0008368,None kPa,N/A,3191,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.85 % (total),estimated by the compiler,chunk",99.85,Not Specified %,1930
11.43,0.054392,0.0008368,None kPa,N/A,3191,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.85 % (total),estimated by the compiler,chunk",99.85,Not Specified %,1930
14.14,0.108784,0.00163176,None kPa,N/A,3191,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.85 % (total),estimated by the compiler,chunk",99.85,Not Specified %,1930
14.28,0.117152,0.00175728,None kPa,N/A,3191,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.85 % (total),estimated by the compiler,chunk",99.85,Not Specified %,1930
16.94,0.205016,0.00309616,None kPa,N/A,3191,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.85 % (total),estimated by the compiler,chunk",99.85,Not Specified %,1930
17.24,0.213384,0.00322168,None kPa,N/A,3191,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.85 % (total),estimated by the compiler,chunk",99.85,Not Specified %,1930
19.5,0.3138,0.00472792,None kPa,N/A,3191,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.85 % (total),estimated by the compiler,chunk",99.85,Not Specified %,1930
19.64,0.305432,0.0046024,None kPa,N/A,3191,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.85 % (total),estimated by the compiler,chunk",99.85,Not Specified %,1930
21.7,0.468608,0.0037656,None kPa,N/A,3191,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.85 % (total),estimated by the compiler,chunk",99.85,Not Specified %,1930
