Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
53.7,5.70698,0.11414,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
56.8,6.41407,0.128281,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
60.3,7.25924,0.145185,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
64.0,8.16717,0.163343,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
68.0,9.10438,0.182088,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
74.8,10.6441,0.212882,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
80.4,11.8993,0.237986,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
88.2,13.0959,0.261918,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
96.9,14.644,0.29288,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
105.8,15.7109,0.314218,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
115.0,16.7151,0.334302,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
124.1,17.6941,0.353883,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
133.2,18.5979,0.371958,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
143.0,19.4556,0.389112,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
153.5,20.3259,0.406517,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
163.1,20.9995,0.41999,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
172.9,21.6104,0.432207,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
183.2,22.2212,0.444424,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
193.1,22.7777,0.455554,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
203.3,23.171,0.46342,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
213.0,23.6229,0.472457,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
222.5,24.0413,0.480825,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
231.5,24.2798,0.485595,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
244.1,24.7609,0.495218,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
254.4,25.1249,0.502498,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
265.8,25.4471,0.508942,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
275.0,25.6437,0.512875,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
278.1,25.719,0.514381,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
282.0,25.899,0.517979,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
285.9,25.8529,0.517059,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
289.8,25.8697,0.517393,None kPa,N/A,5180,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by author,99.76 % (total),chemical analysis",99.76,Not Specified %,1939
15.9,0.396643,0.0198322,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
15.91,0.392878,0.0196439,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
16.03,0.413379,0.020669,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
16.67,0.441412,0.0220706,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
16.85,0.43137,0.0215685,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
17.16,0.443504,0.0221752,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
17.32,0.458566,0.0229283,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
17.25,0.433881,0.021694,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
17.41,0.455219,0.022761,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
17.57,0.459822,0.0229911,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
17.73,0.472374,0.0236187,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
17.8,0.501243,0.0250622,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
17.79,0.471118,0.0235559,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
18.27,0.497059,0.024853,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
18.51,0.489946,0.0244973,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
18.75,0.512122,0.0256061,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
18.99,0.534297,0.0267148,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
19.23,0.529694,0.0264847,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
19.31,0.529276,0.0264638,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
19.35,0.536807,0.0268404,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
19.87,0.555635,0.0277818,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
19.96,0.576974,0.0288487,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
19.97,0.55187,0.0275935,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
20.14,0.568606,0.0284303,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
20.28,0.586178,0.0293089,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
20.41,0.594965,0.0297482,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
20.59,0.625508,0.0312754,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
20.74,0.630529,0.0315264,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
20.91,0.640989,0.0320494,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
20.97,0.626763,0.0313382,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
21.5,0.688686,0.0344343,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
21.85,0.639734,0.0319867,None kPa,N/A,5292,['C'],A,AC calorimetry,not stated,,,1940
