Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
15.97,0.168615,0.0033723,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
17.97,0.185351,0.00370702,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
20.66,0.307106,0.00614211,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
27.54,0.719648,0.014393,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
31.52,1.10458,0.0220915,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
34.04,1.3849,0.0276981,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
38.1,1.92046,0.0384091,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
56.0,5.14632,0.102926,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
64.3,6.84084,0.136817,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
69.5,7.9496,0.158992,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
79.4,9.99976,0.199995,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
91.6,12.0499,0.240998,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
98.6,13.1378,0.262755,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
105.6,14.1419,0.282838,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
112.8,15.1879,0.303758,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
120.4,16.0247,0.320494,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
144.6,18.3259,0.366518,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
200.2,21.2966,0.425931,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
206.1,21.5058,0.430115,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
209.1,21.6313,0.432626,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
238.6,22.5518,0.451035,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
274.7,23.1375,0.46275,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
238.4,23.6396,0.472792,None kPa,N/A,2369,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1926
273.15,24.5182,1.22591,None kPa,N/A,4130,['C'],A,Drop calorimetry,origin: commercial source,,,1934
373.15,25.0203,1.25102,None kPa,N/A,4130,['C'],A,Drop calorimetry,origin: commercial source,,,1934
473.15,25.5266,1.27633,None kPa,N/A,4130,['C'],A,Drop calorimetry,origin: commercial source,,,1934
573.15,26.0412,1.30206,None kPa,N/A,4130,['C'],A,Drop calorimetry,origin: commercial source,,,1934
673.15,26.5642,1.32821,None kPa,N/A,4130,['C'],A,Drop calorimetry,origin: commercial source,,,1934
773.15,27.0956,1.35478,None kPa,N/A,4130,['C'],A,Drop calorimetry,origin: commercial source,,,1934
873.15,27.6395,1.38198,None kPa,N/A,4130,['C'],A,Drop calorimetry,origin: commercial source,,,1934
973.15,28.1876,1.40938,None kPa,N/A,4130,['C'],A,Drop calorimetry,origin: commercial source,,,1934
1073.15,28.7441,1.4372,None kPa,N/A,4130,['C'],A,Drop calorimetry,origin: commercial source,,,1934
1173.15,29.3089,1.46545,None kPa,N/A,4130,['C'],A,Drop calorimetry,origin: commercial source,,,1934
1273.15,29.8863,1.49432,None kPa,N/A,4130,['C'],A,Drop calorimetry,origin: commercial source,,,1934
1373.15,30.4679,1.52339,None kPa,N/A,4130,['C'],A,Drop calorimetry,origin: commercial source,,,1934
1473.15,31.0578,1.55289,None kPa,N/A,4130,['C'],A,Drop calorimetry,origin: commercial source,,,1934
1573.15,31.6561,1.58281,None kPa,N/A,4130,['C'],A,Drop calorimetry,origin: commercial source,,,1934
1673.15,32.2628,1.61314,None kPa,N/A,4130,['C'],A,Drop calorimetry,origin: commercial source,,,1934
10.445,0.0523,0.002615,0.1 kPa,N/A,7696,['C'],A,Vacuum adiabatic calorimetry,10107,99.9,Not Specified %,1953
9.91,0.0447688,0.00223844,None kPa,N/A,7696,['C'],A,Vacuum adiabatic calorimetry,10107,99.9,Not Specified %,1953
9.429,0.0382836,0.00191418,None kPa,N/A,7696,['C'],A,Vacuum adiabatic calorimetry,10107,99.9,Not Specified %,1953
9.179,0.0368192,0.00184096,None kPa,N/A,7696,['C'],A,Vacuum adiabatic calorimetry,10107,99.9,Not Specified %,1953
4.873,0.0122591,0.000612956,None kPa,N/A,7696,['C'],A,Vacuum adiabatic calorimetry,10107,99.9,Not Specified %,1953
4.769,0.0123428,0.00061714,None kPa,N/A,7696,['C'],A,Vacuum adiabatic calorimetry,10107,99.9,Not Specified %,1953
4.603,0.0108366,0.000541828,None kPa,N/A,7696,['C'],A,Vacuum adiabatic calorimetry,10107,99.9,Not Specified %,1953
4.495,0.0116734,0.000583668,None kPa,N/A,7696,['C'],A,Vacuum adiabatic calorimetry,10107,99.9,Not Specified %,1953
3.478,0.008368,0.0004184,None kPa,N/A,7696,['C'],A,Vacuum adiabatic calorimetry,10107,99.9,Not Specified %,1953
2.98,0.00677808,0.000338904,None kPa,N/A,7696,['C'],A,Vacuum adiabatic calorimetry,10107,99.9,Not Specified %,1953
2.878,0.0103763,0.000518816,None kPa,N/A,7696,['C'],A,Vacuum adiabatic calorimetry,10107,99.9,Not Specified %,1953
2.741,0.00640152,0.000320076,None kPa,N/A,7696,['C'],A,Vacuum adiabatic calorimetry,10107,99.9,Not Specified %,1953
2.523,0.0060668,0.00030334,None kPa,N/A,7696,['C'],A,Vacuum adiabatic calorimetry,10107,99.9,Not Specified %,1953
2.412,0.0101253,0.000506264,None kPa,N/A,7696,['C'],A,Vacuum adiabatic calorimetry,10107,99.9,Not Specified %,1953
1.42,0.00310453,0.000155226,None kPa,N/A,7696,['C'],A,Vacuum adiabatic calorimetry,10107,99.9,Not Specified %,1953
1.392,0.00302922,0.000151461,None kPa,N/A,7696,['C'],A,Vacuum adiabatic calorimetry,10107,99.9,Not Specified %,1953
1.365,0.00310453,0.000155226,None kPa,N/A,7696,['C'],A,Vacuum adiabatic calorimetry,10107,99.9,Not Specified %,1953
1.339,0.00289533,0.000144766,None kPa,N/A,7696,['C'],A,Vacuum adiabatic calorimetry,10107,99.9,Not Specified %,1953
20.0,0.224681,0.00224681,None kPa,N/A,8963,['C'],A,Calculated from Debye's and Electronic Coefficient,"origin: commercial source,99.98 %",99.98,Not Specified %,1955
946.0,28.4512,1.42256,None kPa,N/A,10134,['C'],A,isoperibol calorimeter,not stated,,,1958
875.0,26.6939,1.3347,None kPa,N/A,10134,['C'],A,isoperibol calorimeter,not stated,,,1958
781.0,27.2378,1.36189,None kPa,N/A,10134,['C'],A,isoperibol calorimeter,not stated,,,1958
676.0,27.3215,1.36608,None kPa,N/A,10134,['C'],A,isoperibol calorimeter,not stated,,,1958
604.0,26.0663,1.30332,None kPa,N/A,10134,['C'],A,isoperibol calorimeter,not stated,,,1958
565.0,25.899,1.29495,None kPa,N/A,10134,['C'],A,isoperibol calorimeter,not stated,,,1958
465.0,24.8111,1.24056,None kPa,N/A,10134,['C'],A,isoperibol calorimeter,not stated,,,1958
400.0,24.3927,1.21964,None kPa,N/A,10134,['C'],A,isoperibol calorimeter,not stated,,,1958
13.23,0.0761488,0.00114223,101.325 kPa,N/A,10659,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
14.14,0.0874456,0.00131168,None kPa,N/A,10659,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
14.38,0.0903744,0.00135562,None kPa,N/A,10659,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
15.27,0.104182,0.00156272,None kPa,N/A,10659,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
16.1,0.120499,0.00180749,None kPa,N/A,10659,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
16.61,0.130122,0.00195184,None kPa,N/A,10659,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
16.71,0.131796,0.00197694,None kPa,N/A,10659,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
18.34,0.16485,0.00247274,None kPa,N/A,10659,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
19.24,0.188698,0.00283048,None kPa,N/A,10659,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
19.39,0.191627,0.00287441,None kPa,N/A,10659,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
19.46,0.193301,0.00289951,None kPa,N/A,10659,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
21.3,0.251877,0.00377815,None kPa,N/A,10659,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
23.16,0.330118,0.00495176,None kPa,N/A,10659,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
26.81,0.524674,0.0078701,None kPa,N/A,10659,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
31.13,0.863996,0.00431998,101.325 kPa,N/A,10660,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
35.98,1.39369,0.00696845,None kPa,N/A,10660,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
40.77,2.08196,0.0104098,None kPa,N/A,10660,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
46.62,3.10076,0.0155038,None kPa,N/A,10660,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
51.85,4.14174,0.0207087,None kPa,N/A,10660,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
57.56,5.34715,0.0267358,None kPa,N/A,10660,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
62.6,6.42662,0.0321331,None kPa,N/A,10660,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
67.52,7.4517,0.0372585,None kPa,N/A,10660,['C'],A,not described,"origin: synthesized by author,99.99 weight % (total),stated by supplier",99.99,Weight %,1959
