Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
273.15,27.0705,0.812114,None kPa,N/A,1068,['C'],A,Drop calorimetry,not stated,,,1913
150,24.6856,1.23428,101.325 kPa,N/A,1183,['C'],A,Not Described,not stated,,,1914
240,26.6102,1.33051,None kPa,N/A,1183,['C'],A,Not Described,not stated,,,1914
300,27.8654,1.39327,None kPa,N/A,1183,['C'],A,Not Described,not stated,,,1914
330,28.6604,1.43302,None kPa,N/A,1183,['C'],A,Not Described,not stated,,,1914
360,30.6687,1.53344,None kPa,N/A,1183,['C'],A,Not Described,not stated,,,1914
368,31.2963,1.56482,None kPa,N/A,1183,['C'],A,Not Described,not stated,,,1914
373,31.129,1.55645,None kPa,N/A,1183,['C'],A,Not Described,not stated,,,1914
,,,,,,,,,,,,
,,,,,,,,,,,,
87,22.0078,0.440157,None kPa,N/A,1528,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1920
87.9,22.1752,0.443504,None kPa,N/A,1528,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1920
89.7,22.1334,0.442667,None kPa,N/A,1528,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1920
91.5,22.5936,0.451872,None kPa,N/A,1528,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1920
92.2,22.9283,0.458566,None kPa,N/A,1528,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1920
105.2,23.3467,0.466934,None kPa,N/A,1528,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1920
107.2,23.5559,0.471118,None kPa,N/A,1528,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1920
108,23.5978,0.471955,None kPa,N/A,1528,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1920
121.9,23.7233,0.474466,None kPa,N/A,1528,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1920
124,23.7233,0.474466,None kPa,N/A,1528,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1920
16.95,2.47693,0.0495386,None kPa,N/A,2365,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
20.04,3.5815,0.0716301,None kPa,N/A,2365,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
23.25,5.05427,0.101085,None kPa,N/A,2365,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
26.17,6.4852,0.129704,None kPa,N/A,2365,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
29.4,8.07512,0.161502,None kPa,N/A,2365,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),,rod",99.9,Not Specified %,1926
