Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
2.563,0.00488691,,None kPa,N/A,7543,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
3.11,0.0101002,,None kPa,N/A,7543,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
4.282,0.0356477,,None kPa,N/A,7543,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
4.675,0.0446014,,None kPa,N/A,7543,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
5.228,0.0702912,,None kPa,N/A,7543,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
7.42,0.1851,,None kPa,N/A,7543,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
3.233,0.029083,,None kPa,N/A,7543,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
3.996,0.043137,,None kPa,N/A,7543,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
6.144,0.0799144,,None kPa,N/A,7543,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
8.63,0.156733,,None kPa,N/A,7543,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
10.475,0.227568,,None kPa,N/A,7543,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
2.55,0.00442249,0.000132675,None kPa,N/A,7544,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
2.673,0.00607098,0.00018213,None kPa,N/A,7544,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
2.964,0.00836382,0.000250914,None kPa,N/A,7544,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
3.106,0.0103972,0.000311917,None kPa,N/A,7544,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
3.137,0.00904162,0.000271249,None kPa,N/A,7544,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
3.257,0.014552,0.000436559,None kPa,N/A,7544,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
3.412,0.0161879,0.000485637,None kPa,N/A,7544,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
3.465,0.0165394,0.000496181,None kPa,N/A,7544,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
3.539,0.0181084,0.000543251,None kPa,N/A,7544,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
3.597,0.0197778,0.000593333,None kPa,N/A,7544,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
3.65,0.0201836,0.000605508,None kPa,N/A,7544,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
3.697,0.0210539,0.000631617,None kPa,N/A,7544,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
3.752,0.0221124,0.000663373,None kPa,N/A,7544,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
3.794,0.0240957,0.00072287,None kPa,N/A,7544,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
3.795,0.0228697,0.000686092,None kPa,N/A,7544,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
3.835,0.0250831,0.000752492,None kPa,N/A,7544,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
3.882,0.0253509,0.000760526,None kPa,N/A,7544,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 weight % (total),stated by supplier,rod",99.8,Weight %,1953
