Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
12.5,6.0668,0.060668,None kPa,N/A,6879,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.9 % (total),estimated by the compiler",99.9,Not Specified %,1951
14.1,7.1128,0.071128,None kPa,N/A,6879,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.9 % (total),estimated by the compiler",99.9,Not Specified %,1951
14.9,7.82408,0.0782408,None kPa,N/A,6879,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.9 % (total),estimated by the compiler",99.9,Not Specified %,1951
15.7,8.368,0.08368,None kPa,N/A,6879,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.9 % (total),estimated by the compiler",99.9,Not Specified %,1951
16.8,9.16296,0.0916296,None kPa,N/A,6879,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.9 % (total),estimated by the compiler",99.9,Not Specified %,1951
17.4,9.70688,0.0970688,None kPa,N/A,6879,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.9 % (total),estimated by the compiler",99.9,Not Specified %,1951
17.3,9.87424,0.0987424,None kPa,N/A,6879,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.9 % (total),estimated by the compiler",99.9,Not Specified %,1951
17.6,10.0416,0.100416,None kPa,N/A,6879,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.9 % (total),estimated by the compiler",99.9,Not Specified %,1951
18.0,10.0834,0.100834,None kPa,N/A,6879,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.9 % (total),estimated by the compiler",99.9,Not Specified %,1951
18.2,10.46,0.1046,None kPa,N/A,6879,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.9 % (total),estimated by the compiler",99.9,Not Specified %,1951
18.6,10.8784,0.108784,None kPa,N/A,6879,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.9 % (total),estimated by the compiler",99.9,Not Specified %,1951
18.9,11.0039,0.110039,None kPa,N/A,6879,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.9 % (total),estimated by the compiler",99.9,Not Specified %,1951
19.3,10.711,0.10711,None kPa,N/A,6879,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.9 % (total),estimated by the compiler",99.9,Not Specified %,1951
19.6,10.5855,0.105855,None kPa,N/A,6879,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.9 % (total),estimated by the compiler",99.9,Not Specified %,1951
19.5,10.4182,0.104182,None kPa,N/A,6879,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.9 % (total),estimated by the compiler",99.9,Not Specified %,1951
19.8,10.209,0.10209,None kPa,N/A,6879,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.9 % (total),estimated by the compiler",99.9,Not Specified %,1951
20.2,10.2508,0.102508,None kPa,N/A,6879,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.9 % (total),estimated by the compiler",99.9,Not Specified %,1951
