Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
15.05,0.194389,0.00291583,101.325 kPa,N/A,3197,['C'],A,Low temperature calorimetry set up,"not stated,99 weight % (total),estimated by the compiler",99.0,Weight %,1930
18.06,0.261918,0.00392878,None kPa,N/A,3197,['C'],A,Low temperature calorimetry set up,"not stated,99 weight % (total),estimated by the compiler",99.0,Weight %,1930
22.11,0.405848,0.00608772,None kPa,N/A,3197,['C'],A,Low temperature calorimetry set up,"not stated,99 weight % (total),estimated by the compiler",99.0,Weight %,1930
25.2,0.598312,0.00897468,None kPa,N/A,3197,['C'],A,Low temperature calorimetry set up,"not stated,99 weight % (total),estimated by the compiler",99.0,Weight %,1930
28.0,0.807094,0.0121064,None kPa,N/A,3197,['C'],A,Low temperature calorimetry set up,"not stated,99 weight % (total),estimated by the compiler",99.0,Weight %,1930
31.3,1.07612,0.0161419,None kPa,N/A,3197,['C'],A,Low temperature calorimetry set up,"not stated,99 weight % (total),estimated by the compiler",99.0,Weight %,1930
34.55,1.47695,0.0221543,None kPa,N/A,3197,['C'],A,Low temperature calorimetry set up,"not stated,99 weight % (total),estimated by the compiler",99.0,Weight %,1930
37.7,1.94012,0.0291018,None kPa,N/A,3197,['C'],A,Low temperature calorimetry set up,"not stated,99 weight % (total),estimated by the compiler",99.0,Weight %,1930
40.93,2.35852,0.0353778,None kPa,N/A,3197,['C'],A,Low temperature calorimetry set up,"not stated,99 weight % (total),estimated by the compiler",99.0,Weight %,1930
47.1,3.5313,0.0529694,None kPa,N/A,3197,['C'],A,Low temperature calorimetry set up,"not stated,99 weight % (total),estimated by the compiler",99.0,Weight %,1930
55.7,5.23,0.07845,None kPa,N/A,3197,['C'],A,Low temperature calorimetry set up,"not stated,99 weight % (total),estimated by the compiler",99.0,Weight %,1930
67.13,7.6358,0.114537,None kPa,N/A,3197,['C'],A,Low temperature calorimetry set up,"not stated,99 weight % (total),estimated by the compiler",99.0,Weight %,1930
74.73,9.15459,0.137319,None kPa,N/A,3197,['C'],A,Low temperature calorimetry set up,"not stated,99 weight % (total),estimated by the compiler",99.0,Weight %,1930
82.3,10.6106,0.159159,None kPa,N/A,3197,['C'],A,Low temperature calorimetry set up,"not stated,99 weight % (total),estimated by the compiler",99.0,Weight %,1930
92.95,12.3554,0.18533,None kPa,N/A,3197,['C'],A,Low temperature calorimetry set up,"not stated,99 weight % (total),estimated by the compiler",99.0,Weight %,1930
104.0,14.2047,0.21307,None kPa,N/A,3197,['C'],A,Low temperature calorimetry set up,"not stated,99 weight % (total),estimated by the compiler",99.0,Weight %,1930
114.33,15.5728,0.233593,None kPa,N/A,3197,['C'],A,Low temperature calorimetry set up,"not stated,99 weight % (total),estimated by the compiler",99.0,Weight %,1930
123.96,16.736,0.25104,None kPa,N/A,3197,['C'],A,Low temperature calorimetry set up,"not stated,99 weight % (total),estimated by the compiler",99.0,Weight %,1930
