Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
273.0,26.2337,0.262337,None kPa,N/A,872,['C'],A,Low temperature calorimetry set up,not stated,,,1911
193.0,25.3969,0.253969,None kPa,N/A,872,['C'],A,Low temperature calorimetry set up,not stated,,,1911
202.0,26.0663,0.260663,None kPa,N/A,873,['C'],A,Low temperature calorimetry set up,not stated,,,1911
198.0,26.2337,0.262337,None kPa,N/A,873,['C'],A,Low temperature calorimetry set up,not stated,,,1911
101.0,24.058,0.24058,None kPa,N/A,873,['C'],A,Low temperature calorimetry set up,not stated,,,1911
93.0,23.9325,0.239325,None kPa,N/A,873,['C'],A,Low temperature calorimetry set up,not stated,,,1911
90.0,24.2254,0.242254,None kPa,N/A,873,['C'],A,Low temperature calorimetry set up,not stated,,,1911
88.0,24.2672,0.242672,None kPa,N/A,873,['C'],A,Low temperature calorimetry set up,not stated,,,1911
82.0,23.6814,0.236814,None kPa,N/A,874,['C'],A,Low temperature calorimetry set up,not stated,,,1911
78.0,23.7233,0.237233,None kPa,N/A,874,['C'],A,Low temperature calorimetry set up,not stated,,,1911
76.0,23.9743,0.239743,None kPa,N/A,874,['C'],A,Low temperature calorimetry set up,not stated,,,1911
67.0,23.8488,0.238488,None kPa,N/A,874,['C'],A,Low temperature calorimetry set up,not stated,,,1911
65.0,23.4304,0.234304,None kPa,N/A,874,['C'],A,Low temperature calorimetry set up,not stated,,,1911
63.0,23.1794,0.231794,None kPa,N/A,874,['C'],A,Low temperature calorimetry set up,not stated,,,1911
61.0,23.012,0.23012,None kPa,N/A,874,['C'],A,Low temperature calorimetry set up,not stated,,,1911
90.2,23.4722,0.234722,None kPa,N/A,875,['C'],A,Low temperature calorimetry set up,not stated,,,1911
85.5,23.5141,0.235141,None kPa,N/A,875,['C'],A,Low temperature calorimetry set up,not stated,,,1911
54.5,22.1752,0.221752,None kPa,N/A,875,['C'],A,Low temperature calorimetry set up,not stated,,,1911
38.1,18.6188,0.186188,None kPa,N/A,875,['C'],A,Low temperature calorimetry set up,not stated,,,1911
37.9,19.5393,0.195393,None kPa,N/A,875,['C'],A,Low temperature calorimetry set up,not stated,,,1911
36.5,17.2799,0.172799,None kPa,N/A,875,['C'],A,Low temperature calorimetry set up,not stated,,,1911
28.3,16.4431,0.164431,None kPa,N/A,875,['C'],A,Low temperature calorimetry set up,not stated,,,1911
23.0,12.3846,0.123846,None kPa,N/A,875,['C'],A,Low temperature calorimetry set up,not stated,,,1911
23.0,12.3846,0.495386,None kPa,N/A,911,['C'],A,not stated,not stated,,,1912
28.3,16.4013,0.656051,None kPa,N/A,911,['C'],A,not stated,not stated,,,1912
36.8,18.4096,0.736384,None kPa,N/A,911,['C'],A,not stated,not stated,,,1912
38.1,18.6188,0.744752,None kPa,N/A,911,['C'],A,not stated,not stated,,,1912
85.5,23.6396,0.945584,None kPa,N/A,911,['C'],A,not stated,not stated,,,1912
90.2,23.8906,0.955626,None kPa,N/A,911,['C'],A,not stated,not stated,,,1912
200.0,25.6479,1.02592,None kPa,N/A,911,['C'],A,not stated,not stated,,,1912
273.0,26.401,1.05604,None kPa,N/A,911,['C'],A,not stated,not stated,,,1912
290.0,26.4847,1.05939,None kPa,N/A,911,['C'],A,not stated,not stated,,,1912
332.0,26.8194,1.07278,None kPa,N/A,911,['C'],A,not stated,not stated,,,1912
409.0,27.6562,1.10625,None kPa,N/A,911,['C'],A,not stated,not stated,,,1912
118.6,24.853,0.745589,None kPa,N/A,1175,['C'],A,Low temperature calorimetry set up,not stated,,,1914
166.3,25.1458,0.754375,None kPa,N/A,1175,['C'],A,Low temperature calorimetry set up,not stated,,,1914
254.4,25.899,0.776969,None kPa,N/A,1175,['C'],A,Low temperature calorimetry set up,not stated,,,1914
273.1,26.15,0.7845,None kPa,N/A,1175,['C'],A,Low temperature calorimetry set up,not stated,,,1914
301.5,26.4429,0.793286,None kPa,N/A,1175,['C'],A,Low temperature calorimetry set up,not stated,,,1914
