Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
2.5,0.033472,0.00033472,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
3.25,0.046024,0.00046024,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
4.0,0.058576,0.00058576,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
4.75,0.071128,0.00071128,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
5.5,0.087864,0.00087864,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
6.25,0.1046,0.001046,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
7.0,0.121336,0.00121336,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
7.75,0.142256,0.00142256,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
8.5,0.16736,0.0016736,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
9.25,0.192464,0.00192464,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
10.0,0.221752,0.00221752,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
10.75,0.255224,0.00255224,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
11.5,0.29288,0.0029288,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
12.25,0.330536,0.00330536,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
13.0,0.37656,0.0037656,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
13.75,0.422584,0.00422584,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
14.5,0.472792,0.00472792,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
15.25,0.531368,0.00531368,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
16.0,0.589944,0.00589944,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
16.75,0.656888,0.00656888,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
17.5,0.728016,0.00728016,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
18.25,0.807512,0.00807512,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
19.0,0.891192,0.00891192,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
19.75,0.979056,0.00979056,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
20.5,1.07529,0.0107529,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
21.25,1.1757,0.011757,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
22.0,1.28449,0.0128449,None kPa,N/A,4734,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1936
13.7,0.428442,0.00644336,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
14.84,0.510866,0.00765672,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
14.96,0.538899,0.00807512,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
16.82,0.643081,0.00966504,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
16.95,0.631366,0.00945584,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
17.33,0.725924,0.0108784,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
17.45,0.697054,0.01046,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
17.49,0.699983,0.0105018,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
19.5,0.917133,0.0137654,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
19.62,0.915459,0.0137235,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
19.94,0.990353,0.0148532,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
20.37,1.05353,0.00840984,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
22.51,1.31252,0.0105018,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
22.69,1.34014,0.010711,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
24.03,1.55477,0.0124265,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
25.32,1.79828,0.014393,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
25.92,1.91836,0.0153553,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
26.23,2.00958,0.0160666,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
27.83,2.31752,0.0185351,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
33.2,3.58234,0.0286604,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
38.57,5.01662,0.0401246,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
41.88,5.88689,0.0471118,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
44.59,6.799,0.054392,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
47.9,7.63998,0.0611282,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
50.07,8.4726,0.0677808,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
57.5,10.096,0.0807512,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
57.92,10.2215,0.0817554,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
61.55,11.1169,0.0889518,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
62.31,11.2633,0.0901234,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
65.08,11.9411,0.0955207,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
67.38,12.5185,0.100165,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
72.14,13.4348,0.107487,None kPa,N/A,6000,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1947
