Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
2.5,0.1046,0.001046,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
3.0,0.16736,0.0016736,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
4.0,0.33472,0.0033472,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
5.0,0.60668,0.0060668,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
6.0,1.12968,0.0112968,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
7.0,1.79912,0.0179912,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
8.0,2.55224,0.0255224,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
9.0,3.3472,0.033472,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
10.0,4.12124,0.0412124,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
15.0,8.45168,0.0845168,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
20.0,13.3051,0.133051,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
25.0,18.2422,0.182422,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
30.0,21.2129,0.212129,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
40.0,24.5182,0.245182,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
50.0,25.8571,0.258571,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
55.0,26.1918,0.261918,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
60.0,26.4429,0.264429,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
70.0,26.3592,0.263592,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
80.0,26.2337,0.262337,None kPa,N/A,6878,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
