Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
76.46,16.6272,0.332544,None kPa,N/A,2367,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
81.4,17.2381,0.344762,None kPa,N/A,2367,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
91.7,18.9117,0.378234,None kPa,N/A,2367,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
98.85,19.4974,0.389949,None kPa,N/A,2367,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
201.5,24.8111,0.496222,None kPa,N/A,2367,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
206.1,24.8948,0.497896,None kPa,N/A,2367,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
17.5,0.999976,0.0199995,None kPa,N/A,2368,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
19.46,1.34725,0.026945,None kPa,N/A,2368,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
21.78,1.86606,0.0373213,None kPa,N/A,2368,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
24.34,2.52714,0.0505427,None kPa,N/A,2368,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
26.75,3.21331,0.0642662,None kPa,N/A,2368,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
30.26,4.28442,0.0856883,None kPa,N/A,2368,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
35.42,5.94128,0.118826,None kPa,N/A,2368,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
42.4,8.25922,0.165184,None kPa,N/A,2368,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
50.5,10.711,0.214221,None kPa,N/A,2368,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
57.6,12.5938,0.251877,None kPa,N/A,2368,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
96.1,19.2046,0.384091,None kPa,N/A,2368,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
101.9,19.6648,0.393296,None kPa,N/A,2368,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
108.0,20.4598,0.409195,None kPa,N/A,2368,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
114.3,20.92,0.4184,None kPa,N/A,2368,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
121.0,21.2966,0.425931,None kPa,N/A,2368,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
198.2,24.853,0.497059,None kPa,N/A,2368,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
203.1,24.8948,0.497896,None kPa,N/A,2368,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
208.3,25.0622,0.501243,None kPa,N/A,2368,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),,wire",99.5,Not Specified %,1926
373.15,26.3299,0.0526598,None kPa,N/A,2921,['C'],A,DSC,not stated,,,1928
473.15,26.8362,0.0536724,None kPa,N/A,2921,['C'],A,DSC,not stated,,,1928
573.15,27.3508,0.0547016,None kPa,N/A,2921,['C'],A,DSC,not stated,,,1928
673.15,27.8738,0.0557476,None kPa,N/A,2921,['C'],A,DSC,not stated,,,1928
773.15,28.3884,0.0567769,None kPa,N/A,2921,['C'],A,DSC,not stated,,,1928
873.15,28.9198,0.0578396,None kPa,N/A,2921,['C'],A,DSC,not stated,,,1928
973.15,29.4428,0.0588856,None kPa,N/A,2921,['C'],A,DSC,not stated,,,1928
1073.15,29.9784,0.0599567,None kPa,N/A,2921,['C'],A,DSC,not stated,,,1928
1173.15,30.5139,0.0610278,None kPa,N/A,2921,['C'],A,DSC,not stated,,,1928
1273.15,31.0495,0.0620989,None kPa,N/A,2921,['C'],A,DSC,not stated,,,1928
1373.15,31.5976,0.0631951,None kPa,N/A,2921,['C'],A,DSC,not stated,,,1928
1473.15,32.1457,0.0642913,None kPa,N/A,2921,['C'],A,DSC,not stated,,,1928
1576.15,32.7021,0.0654043,None kPa,N/A,2921,['C'],A,DSC,not stated,,,1928
1673.15,33.2586,0.0665172,None kPa,N/A,2921,['C'],A,DSC,not stated,,,1928
1773.15,33.8109,0.0676218,None kPa,N/A,2921,['C'],A,DSC,not stated,,,1928
1873.15,34.3757,0.0687515,None kPa,N/A,2921,['C'],A,DSC,not stated,,,1928
10.63,0.286604,0.00429906,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
10.81,0.299156,0.00448734,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
11.18,0.323842,0.00485762,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
11.23,0.33221,0.00498314,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
12.27,0.402501,0.00603751,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
12.24,0.412542,0.00618814,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
12.88,0.459403,0.00689105,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
12.95,0.482834,0.0072425,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
13.29,0.495804,0.00743706,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
13.89,0.579066,0.00868598,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
14.14,0.604588,0.00906882,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
14.38,0.615048,0.00922572,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
14.57,0.633039,0.00949559,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
15.33,0.757722,0.0113658,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
15.61,0.821738,0.0123261,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
16.19,0.871109,0.0130666,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
16.24,0.873619,0.0131043,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
16.62,0.931358,0.0139704,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
17.54,1.0711,0.0160666,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
17.6,1.08533,0.0162799,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
18.01,1.15144,0.0172716,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
18.59,1.25855,0.0188782,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
18.84,1.30917,0.0196376,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
19.65,1.44264,0.0216396,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
19.78,1.47277,0.0220915,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
21.0,1.72548,0.0138039,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
21.07,1.75979,0.0140783,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
21.63,1.85351,0.0148281,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
23.66,2.40831,0.0192665,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
24.04,2.49743,0.0199794,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
26.88,3.31331,0.0265065,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
27.52,3.50912,0.028073,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
30.69,4.59403,0.0367523,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
31.58,4.80323,0.0384259,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
34.86,5.89107,0.0471286,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
35.89,6.21742,0.0497394,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
39.42,7.43078,0.0594463,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
40.78,7.81571,0.0625257,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
43.47,8.74038,0.069923,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
45.02,9.19225,0.073538,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
47.13,9.87424,0.0789939,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
49.7,10.6776,0.0854205,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
50.83,10.9746,0.0877971,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
53.58,11.6859,0.0934873,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
54.22,11.8951,0.0951609,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
57.08,12.6189,0.100952,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
57.62,12.7989,0.102391,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
58.19,12.7738,0.10219,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
59.86,13.3344,0.106675,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
60.94,13.5227,0.108182,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
61.46,13.6691,0.109353,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
62.33,13.8992,0.111194,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
62.69,13.9536,0.111629,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
62.91,13.9997,0.111997,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
65.26,14.5101,0.116081,None kPa,N/A,9531,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.94 % (total),spectroscopy,rod",99.94,Not Specified %,1957
