Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
273.15,28.6604,0.859812,None kPa,N/A,1076,['C'],A,Drop calorimetry,not stated,,,1913
57.227,23.8619,0.0238619,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
61.134,24.1567,0.0241567,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
66.087,24.4436,0.0244436,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
70.361,24.5725,0.0245725,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
72.417,24.6304,0.0246304,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
77.827,24.9172,0.0249172,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
82.391,25.1409,0.0251409,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
86.76,25.3251,0.0253251,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
90.415,25.4119,0.0254119,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
95.739,25.4564,0.0254564,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
107.197,25.6482,0.0256482,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
119.469,25.9032,0.0259032,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
121.915,26.0163,0.0260163,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
124.363,26.0636,0.0260636,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
127.629,26.0846,0.0260846,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
129.556,26.0792,0.0260792,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
132.071,26.1081,0.0261081,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
134.422,26.1238,0.0261238,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
136.119,26.1632,0.0261632,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
139.676,26.25,0.02625,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
142.84,26.371,0.026371,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
148.419,26.5446,0.0265446,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
155.01,26.7261,0.0267261,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
169.922,27.1232,0.0271232,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
172.893,27.1625,0.0271625,None kPa,N/A,8495,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.6 % (total),",99.6,Not Specified %,1955
