Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
77.1,13.7654,0.688268,0.1 kPa,N/A,7697,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 % (total),stated by supplier,plate",99.8,Not Specified %,1953
76.9,14.6022,0.730108,None kPa,N/A,7697,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 % (total),stated by supplier,plate",99.8,Not Specified %,1953
71.9,13.6817,0.684084,None kPa,N/A,7697,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 % (total),stated by supplier,plate",99.8,Not Specified %,1953
70.9,14.0164,0.70082,None kPa,N/A,7697,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 % (total),stated by supplier,plate",99.8,Not Specified %,1953
70.2,14.1001,0.705004,None kPa,N/A,7697,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 % (total),stated by supplier,plate",99.8,Not Specified %,1953
70.0,12.9704,0.64852,None kPa,N/A,7697,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 % (total),stated by supplier,plate",99.8,Not Specified %,1953
69.7,13.347,0.667348,None kPa,N/A,7697,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 % (total),stated by supplier,plate",99.8,Not Specified %,1953
69.4,13.5143,0.675716,None kPa,N/A,7697,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 % (total),stated by supplier,plate",99.8,Not Specified %,1953
69.0,13.5143,0.675716,None kPa,N/A,7697,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 % (total),stated by supplier,plate",99.8,Not Specified %,1953
68.6,13.6398,0.681992,None kPa,N/A,7697,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 % (total),stated by supplier,plate",99.8,Not Specified %,1953
68.0,13.1796,0.65898,None kPa,N/A,7697,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.8 % (total),stated by supplier,plate",99.8,Not Specified %,1953
20.0,0.531786,0.00531786,None kPa,N/A,8966,['C'],A,Calculated from Debye's and Electronic Coefficient,"origin: commercial source,99.98 %",99.98,Not Specified %,1955
1.2,0.00297482,8.92447e-05,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
1.3,0.00323005,9.69014e-05,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
1.4,0.00348527,0.000104558,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
1.5,0.00374468,0.00011234,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
1.6,0.00400409,0.000120123,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
1.7,0.00426768,0.00012803,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
1.8,0.00453127,0.000135938,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
1.9,0.00479486,0.000143846,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
2.0,0.00506682,0.000152005,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
2.1,0.00533878,0.000160164,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
2.2,0.00561074,0.000168322,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
2.3,0.00588689,0.000176607,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
2.4,0.00616722,0.000185016,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
2.5,0.00645173,0.000193552,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
2.6,0.00673624,0.000202087,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
2.7,0.00702912,0.000210874,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
2.8,0.007322,0.00021966,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
2.9,0.00761906,0.000228572,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
3.0,0.00791613,0.000237484,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
3.1,0.00822156,0.000246647,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
3.2,0.00853118,0.000255935,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
3.3,0.00884079,0.000265224,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
3.4,0.00915878,0.000274763,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
3.5,0.00948094,0.000284428,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
3.6,0.0098073,0.000294219,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
3.7,0.0101336,0.000304009,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
3.8,0.0104684,0.000314051,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
3.9,0.0108115,0.000324344,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
4.0,0.0111545,0.000334636,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
20.0,0.53192,0.0159576,None kPa,N/A,9346,['C'],A,not stated,12104,99.98,Not Specified %,1956
0.378243,0.000412996,1.23899e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.391409,0.000396262,1.18879e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.408167,0.000394387,1.18316e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.411172,0.000374105,1.12231e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.443205,0.000383909,1.15173e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.456416,0.000382472,1.14742e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.486961,0.000408034,1.2241e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.49768,0.00043231,1.29693e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.507332,0.000428985,1.28695e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.518059,0.000459285,1.37786e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.529798,0.000487329,1.46199e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.537977,0.000515522,1.54657e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.558371,0.000553647,1.66094e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.567561,0.000580201,1.7406e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.577271,0.000613789,1.84137e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.587448,0.000621585,1.86475e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.598177,0.000658982,1.97695e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.608907,0.00069732,2.09196e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.626784,0.000759531,2.27859e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.66866,0.000907893,2.72368e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.677358,0.000952677,2.85803e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.687085,0.0010086,3.0258e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.699805,0.00102188,3.06563e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.706962,0.00105587,3.16761e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
0.726445,0.00119664,3.58993e-05,None kPa,N/A,10809,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.95 weight % (total),,ingot",99.95,Weight %,1959
