Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
20.0,0.300411,0.00300411,None kPa,N/A,8969,['C'],A,Calculated from Debye's and Electronic Coefficient,"origin: commercial source,99.98 %",99.98,Not Specified %,1955
10.28,0.0723832,0.00108784,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
11.78,0.0874456,0.00129704,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
12.08,0.0912112,0.00138072,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
14.26,0.126357,0.0018828,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
14.28,0.127612,0.00192464,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
16.66,0.173636,0.00259408,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
16.82,0.179912,0.0027196,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
19.09,0.231794,0.00347272,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
19.14,0.247274,0.00372376,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
19.19,0.248111,0.00372376,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
21.22,0.331791,0.00263592,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
21.75,0.369866,0.00297064,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
22.05,0.376978,0.00301248,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
23.38,0.456474,0.00364008,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
24.29,0.524674,0.004184,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
24.53,0.549359,0.0043932,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
25.64,0.628437,0.0050208,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
27.12,0.752702,0.00602496,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
27.16,0.779898,0.00623416,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
28.75,0.937216,0.00748936,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
29.62,1.04935,0.00840984,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
30.12,1.12759,0.00903744,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
31.94,1.34767,0.0107947,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
32.05,1.36733,0.0109202,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
34.87,1.78113,0.0142674,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
35.22,1.82381,0.0146022,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
38.25,2.40496,0.0192464,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
38.52,2.44513,0.0195811,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
42.64,3.30913,0.0264847,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
44.18,3.65682,0.0292462,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
46.44,4.20492,0.033472,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
50.43,5.16306,0.0414216,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
51.34,5.31786,0.0426768,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
54.6,6.14211,0.0489528,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
55.6,6.33876,0.0506264,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
58.58,7.1379,0.0569024,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
60.52,7.56467,0.060668,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
62.47,8.06257,0.0644336,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
62.92,8.35963,0.066944,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
65.12,8.6818,0.0694544,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
65.29,8.67762,0.0694544,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
66.21,8.9705,0.0719648,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
67.37,9.33032,0.0744752,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
69.89,9.66086,0.077404,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
71.14,9.89516,0.0790776,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
74.26,10.6608,0.0853536,None kPa,N/A,8478,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,rod",99.9,Not Specified %,1955
