Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
20.0,0.189117,0.00189117,None kPa,N/A,8967,['C'],A,Calculated from Debye's and Electronic Coefficient,"origin: commercial source,99.98 %",99.98,Not Specified %,1955
1.2,0.00401664,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
1.3,0.00435136,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
1.4,0.00472792,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
1.5,0.00506264,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
1.6,0.00539736,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
1.7,0.00573208,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
1.8,0.0060668,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
1.9,0.00640152,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
2.0,0.00677808,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
2.1,0.0071128,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
2.2,0.00744752,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
2.3,0.00782408,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
2.4,0.0081588,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
2.5,0.00849352,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
2.6,0.00887008,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
2.7,0.0092048,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
2.8,0.00958136,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
2.9,0.00991608,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
3.0,0.0102926,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
3.1,0.0106274,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
3.2,0.0110039,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
3.3,0.0113805,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
3.4,0.0117152,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
3.5,0.0120918,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
3.6,0.0124683,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
3.7,0.0128449,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
3.8,0.0132214,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
3.9,0.013598,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
4.0,0.0139746,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
20.0,0.189117,12.552,None kPa,N/A,9347,['C'],A,not stated,12105,99.98,Not Specified %,1956
11.39,0.0514632,0.0008368,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
11.46,0.0539736,0.0008368,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
11.61,0.0539736,0.0008368,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
11.9,0.0569024,0.0008368,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
12.68,0.0640152,0.0008368,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
12.81,0.0631784,0.0008368,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
13.03,0.0681992,0.0008368,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
13.05,0.066944,0.0008368,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
14.54,0.0828432,0.0012552,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
14.84,0.0895376,0.0012552,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
14.85,0.089956,0.0012552,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
15.39,0.0949768,0.0012552,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
16.67,0.114223,0.0016736,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
17.06,0.119244,0.0016736,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
17.3,0.123428,0.0016736,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
17.8,0.132214,0.002092,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
19.03,0.155645,0.0025104,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
19.09,0.154808,0.0025104,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
19.51,0.16736,0.0025104,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
20.42,0.192046,0.0016736,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
21.59,0.212547,0.0016736,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
24.3,0.320494,0.0025104,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
27.89,0.53095,0.004184,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
31.65,0.825085,0.0066944,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
35.68,1.26399,0.0100416,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
39.62,1.81669,0.014644,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
44.02,2.53969,0.0205016,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
48.41,3.36812,0.0267776,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
53.08,4.45596,0.035564,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
56.15,4.97896,0.039748,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
57.31,5.24674,0.04184,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
60.8,6.00822,0.048116,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
61.55,6.15885,0.0493712,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
66.11,7.16301,0.0573208,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
66.23,7.16719,0.0573208,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
70.82,8.22993,0.0656888,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
71.0,8.24666,0.0661072,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
76.07,9.28011,0.0740568,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
81.16,10.3261,0.0309616,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
86.08,11.142,0.033472,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
91.13,12.0583,0.0359824,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
96.01,12.9453,0.0389112,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
101.23,13.6691,0.0410032,None kPa,N/A,10663,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1959
