Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
80.4,21.715,0.434299,None kPa,N/A,1529,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1920
81.6,21.171,0.423421,None kPa,N/A,1529,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1920
83.7,21.0874,0.421747,None kPa,N/A,1529,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1920
85.6,21.8405,0.43681,None kPa,N/A,1529,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1920
86.2,21.8405,0.43681,None kPa,N/A,1529,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1920
92.0,22.3007,0.446014,None kPa,N/A,1529,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1920
93.3,22.3844,0.447688,None kPa,N/A,1529,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1920
98.1,22.8865,0.45773,None kPa,N/A,1529,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1920
66.0,16.3887,0.163887,None kPa,N/A,3125,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1930
69.6,17.0833,0.170833,None kPa,N/A,3125,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1930
75.7,18.146,0.18146,None kPa,N/A,3125,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1930
85.8,19.2548,0.192548,None kPa,N/A,3125,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1930
93.1,19.6648,0.196648,None kPa,N/A,3125,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1930
104.6,20.8447,0.208447,None kPa,N/A,3125,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1930
114.8,21.8572,0.218572,None kPa,N/A,3125,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1930
127.7,22.3886,0.223886,None kPa,N/A,3125,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1930
139.7,22.7233,0.227233,None kPa,N/A,3125,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1930
157.9,23.422,0.23422,None kPa,N/A,3125,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1930
169.4,23.8111,0.238111,None kPa,N/A,3125,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1930
181.9,23.9576,0.239576,None kPa,N/A,3125,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1930
