Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
1.525,0.0173483,0.000520449,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
1.55,0.0175911,0.000527733,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
1.626,0.0184722,0.000554166,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
1.646,0.0186178,0.000558534,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
1.719,0.019473,0.00058419,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
1.724,0.0196233,0.000588699,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
1.787,0.0202107,0.000606321,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
1.802,0.0204362,0.000613086,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
1.878,0.0212682,0.000638046,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
1.884,0.0215273,0.000645819,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
1.952,0.0221512,0.000664536,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
1.978,0.022617,0.00067851,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
2.031,0.0231148,0.000693444,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
2.054,0.0235829,0.000707487,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
2.103,0.0241111,0.000723333,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
2.149,0.0246429,0.000739287,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
2.192,0.0251619,0.000754857,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
2.229,0.0255701,0.000767103,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
2.239,0.0256188,0.000768564,None kPa,N/A,12318,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.96 weight % (total),spectroscopy,rod",99.96,Weight %,1961
