Temp,Cpcal,Mult,Cp,Ref,Year,Error,Composition,Molar mass,Convert rate,Tempref
14.97,5.69,0.001,1.879822987,110,1953,0.3,sRef,78.96,4.187,15-300
15.73,6.59,0.001,2.177367955,110,1953,0.3,sRef,78.96,4.187,15-300
16.87,7.69,0.001,2.541364632,110,1953,0.3,sRef,78.96,4.187,15-300
18.17,8.73,0.001,2.884863768,110,1953,0.3,sRef,78.96,4.187,15-300
19.87,1.03,0.01,3.405236856,110,1953,0.3,sRef,78.96,4.187,15-300
21.76,1.2,0.01,3.957348074,110,1953,0.3,sRef,78.96,4.187,15-300
23.82,1.4,0.01,4.625171225,110,1953,0.3,sRef,78.96,4.187,15-300
25.72,1.54,0.01,5.081406842,110,1953,0.3,sRef,78.96,4.187,15-300
27.81,1.7,0.01,5.610375674,110,1953,0.3,sRef,78.96,4.187,15-300
30.38,1.95,0.01,6.45341975,110,1953,0.3,sRef,78.96,4.187,15-300
33.21,2.14,0.01,7.065039962,110,1953,0.3,sRef,78.96,4.187,15-300
36.06,2.37,0.01,7.835350824,110,1953,0.3,sRef,78.96,4.187,15-300
39.38,2.61,0.01,8.625498017,110,1953,0.3,sRef,78.96,4.187,15-300
42.11,2.79,0.01,9.210669787,110,1953,0.3,sRef,78.96,4.187,15-300
44.86,2.99,0.01,9.868574772,110,1953,0.3,sRef,78.96,4.187,15-300
47.62,3.12,0.01,10.301668,110,1953,0.3,sRef,78.96,4.187,15-300
50.21,3.28,0.01,10.83724895,110,1953,0.3,sRef,78.96,4.187,15-300
52.82,3.47,0.01,11.48523576,110,1953,0.3,sRef,78.96,4.187,15-300
56.74,3.73,0.01,12.34481012,110,1953,0.3,sRef,78.96,4.187,15-300
60.63,3.97,0.01,13.13495731,110,1953,0.3,sRef,78.96,4.187,15-300
64.34,4.14,0.01,13.68706853,110,1953,0.3,sRef,78.96,4.187,15-300
67.99,4.24,0.01,14.00444983,110,1953,0.3,sRef,78.96,4.187,15-300
72.3,4.48,0.01,14.81443335,110,1953,0.3,sRef,78.96,4.187,15-300
76,4.66,0.01,15.41944145,110,1953,0.3,sRef,78.96,4.187,15-300
79.46,4.8,0.01,15.87237102,110,1953,0.3,sRef,78.96,4.187,15-300
83.63,5.04,0.01,16.66582426,110,1953,0.3,sRef,78.96,4.187,15-300
87.97,5.13,0.01,16.95675712,110,1953,0.3,sRef,78.96,4.187,15-300
100.64,5.52,0.01,18.25273076,110,1953,0.3,sRef,78.96,4.187,15-300
121.34,6.05,0.01,19.99171579,110,1953,0.3,sRef,78.96,4.187,15-300
141.53,6.43,0.01,21.26124099,110,1953,0.3,sRef,78.96,4.187,15-300
147.21,6.51,0.01,21.53233752,110,1953,0.3,sRef,78.96,4.187,15-300
156.19,6.72,0.01,22.20346672,110,1953,0.3,sRef,78.96,4.187,15-300
172.77,6.8,0.01,22.47125719,110,1953,0.3,sRef,78.96,4.187,15-300
180.5,6.93,0.01,22.91426859,110,1953,0.3,sRef,78.96,4.187,15-300
189.05,6.99,0.01,23.09279557,110,1953,0.3,sRef,78.96,4.187,15-300
205.28,7.12,0.01,23.53911302,110,1953,0.3,sRef,78.96,4.187,15-300
213.1,7.19,0.01,23.76061872,110,1953,0.3,sRef,78.96,4.187,15-300
220.36,7.16,0.01,23.68457945,110,1953,0.3,sRef,78.96,4.187,15-300
227.73,7.14,0.01,23.61845835,110,1953,0.3,sRef,78.96,4.187,15-300
235.1,7.26,0.01,23.99204259,110,1953,0.3,sRef,78.96,4.187,15-300
242.04,7.29,0.01,24.08461213,110,1953,0.3,sRef,78.96,4.187,15-300
249.1,7.32,0.01,24.21354828,110,1953,0.3,sRef,78.96,4.187,15-300
256.09,7.32,0.01,24.20363012,110,1953,0.3,sRef,78.96,4.187,15-300
268.19,7.48,0.01,24.7292929,110,1953,0.3,sRef,78.96,4.187,15-300
275.27,7.57,0.01,25.03344997,110,1953,0.3,sRef,78.96,4.187,15-300
281.82,7.62,0.01,25.19875273,110,1953,0.3,sRef,78.96,4.187,15-300
288.25,7.64,0.01,25.25164962,110,1953,0.3,sRef,78.96,4.187,15-300
294.85,7.66,0.01,25.334301,110,1953,0.3,sRef,78.96,4.187,15-300
300.3,7.64,0.01,25.26817989,110,1953,0.3,sRef,78.96,4.187,15-300
49.9,3.69,0.01,12.20926185,358,1937,0.3,sRef,78.96,4.187,50 -299
52.5,3.77,0.01,12.45060388,358,1937,0.3,sRef,78.96,4.187,50 -299
55.5,3.88,0.01,12.83741234,358,1937,0.3,sRef,78.96,4.187,50 -299
56.2,3.89,0.01,12.85724867,358,1937,0.3,sRef,78.96,4.187,50 -299
58.1,4,0.01,13.21099658,358,1937,0.3,sRef,78.96,4.187,50 -299
59.5,4.04,0.01,13.34654484,358,1937,0.3,sRef,78.96,4.187,50 -299
63.3,4.21,0.01,13.93171661,358,1937,0.3,sRef,78.96,4.187,50 -299
68.2,4.45,0.01,14.70863958,358,1937,0.3,sRef,78.96,4.187,50 -299
71.9,4.6,0.01,15.21446603,358,1937,0.3,sRef,78.96,4.187,50 -299
78.3,4.81,0.01,15.90212551,358,1937,0.3,sRef,78.96,4.187,50 -299
88.9,5.16,0.01,17.04271456,358,1937,0.3,sRef,78.96,4.187,50 -299
107.7,5.71,0.01,18.87757519,358,1937,0.3,sRef,78.96,4.187,50 -299
118.6,5.98,0.01,19.76359799,358,1937,0.3,sRef,78.96,4.187,50 -299
132,6.26,0.01,20.6925995,358,1937,0.3,sRef,78.96,4.187,50 -299
150.7,6.55,0.01,21.66788578,358,1937,0.3,sRef,78.96,4.187,50 -299
162.7,6.72,0.01,22.20016067,358,1937,0.3,sRef,78.96,4.187,50 -299
177.4,6.87,0.01,22.72582344,358,1937,0.3,sRef,78.96,4.187,50 -299
188.4,6.99,0.01,23.09279557,358,1937,0.3,sRef,78.96,4.187,50 -299
205,7.1,0.01,23.47299192,358,1937,0.3,sRef,78.96,4.187,50 -299
216.2,7.22,0.01,23.88294276,358,1937,0.3,sRef,78.96,4.187,50 -299
227.3,7.2,0.01,23.80029138,358,1937,0.3,sRef,78.96,4.187,50 -299
249,7.65,0.01,25.28801622,358,1937,0.3,sRef,78.96,4.187,50 -299
299.1,7.76,0.01,25.65498835,358,1937,0.3,sRef,78.96,4.187,50 -299
54.4,3.53,0.01,11.66376275,358,1937,0.3,sRef,78.96,4.187,54-297
56.1,3.63,0.01,11.99106221,358,1937,0.3,sRef,78.96,4.187,54-297
58.7,3.74,0.01,12.37787067,358,1937,0.3,sRef,78.96,4.187,54-297
60.1,3.82,0.01,12.63574297,358,1937,0.3,sRef,78.96,4.187,54-297
63.4,3.84,0.01,12.70847619,358,1937,0.3,sRef,78.96,4.187,54-297
64.6,4.07,0.01,13.4457265,358,1937,0.3,sRef,78.96,4.187,54-297
68.3,4.34,0.01,14.35158562,358,1937,0.3,sRef,78.96,4.187,54-297
72.9,4.74,0.01,15.68392587,358,1937,0.3,sRef,78.96,4.187,54-297
77.6,4.78,0.01,15.79633175,358,1937,0.3,sRef,78.96,4.187,54-297
