Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
54.4,11.6566,0.0582831,None kPa,N/A,4786,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1937
56.1,11.983,0.0599149,None kPa,N/A,4786,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1937
58.7,12.3679,0.0618395,None kPa,N/A,4786,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1937
60.1,12.6273,0.0631366,None kPa,N/A,4786,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1937
63.4,12.6984,0.0634922,None kPa,N/A,4786,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1937
64.6,13.4348,0.0671741,None kPa,N/A,4786,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1937
68.3,14.3428,0.0717138,None kPa,N/A,4786,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1937
72.9,15.6733,0.0783663,None kPa,N/A,4786,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1937
77.6,15.7862,0.0789312,None kPa,N/A,4786,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1937
77.7,15.782,0.0789102,None kPa,N/A,4786,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1937
82.8,16.4013,0.0820064,None kPa,N/A,4786,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1937
92.4,17.3594,0.0867971,None kPa,N/A,4786,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1937
99.5,18.1669,0.0908346,None kPa,N/A,4786,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1937
110.0,19.1041,0.0955207,None kPa,N/A,4786,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1937
119.3,19.7652,0.0988261,None kPa,N/A,4786,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1937
133.9,20.8112,0.104056,None kPa,N/A,4786,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1937
147.0,21.6145,0.108073,None kPa,N/A,4786,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1937
155.4,21.9074,0.109537,None kPa,N/A,4786,['C'],A,Low temperature calorimetry set up,"origin: commercial source,99.8 % (total),estimated by the compiler",99.8,Not Specified %,1937
