Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
2.0,0.03138,0.001569,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
3.0,0.0569024,0.00284512,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
4.0,0.108784,0.0054392,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
5.0,0.217568,0.0108784,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
6.0,0.435136,0.0217568,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
7.0,0.748936,0.0374468,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
8.0,1.21336,0.060668,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
9.0,1.79912,0.089956,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
10.0,2.63592,0.131796,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
11.0,3.7656,0.18828,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
12.0,6.10864,0.305432,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
13.0,10.6692,0.53346,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
13.6,13.0541,0.652704,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
14.0,11.7152,0.58576,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
15.0,5.6484,0.28242,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
16.0,5.48104,0.274052,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
17.0,5.8576,0.29288,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
18.0,6.40152,0.320076,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
19.0,6.98728,0.349364,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
20.0,7.57304,0.378652,None kPa,N/A,9792,['C'],A,Not stated,origin: commercial source,,,1957
1.3802,0.0351874,0.00175937,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
2.37879,0.0387438,0.00193719,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
3.38868,0.0649357,0.00324678,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
4.06254,0.138783,0.00693916,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
4.81368,0.198782,0.00993909,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
5.5014,0.325306,0.0162653,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
5.90571,0.414927,0.0207464,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
6.41973,0.549861,0.0274931,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
6.87835,0.710945,0.0355473,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
7.02543,0.734292,0.0367146,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
7.38609,0.870607,0.0435303,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
7.56094,0.949475,0.0474738,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
7.92201,1.13763,0.0568815,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
8.17255,1.23641,0.0618207,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
8.44077,1.40306,0.0701531,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
8.77353,1.58557,0.0792784,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
9.02472,1.70741,0.0853703,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
9.2888,1.9943,0.0997152,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
9.53862,2.29446,0.114723,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
9.74575,2.41191,0.120595,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
9.99472,2.60416,0.130208,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
10.1708,2.72709,0.136354,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
10.5521,3.17582,0.158791,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
10.7406,3.28595,0.164297,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
11.0778,3.73853,0.186926,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
11.2674,4.15375,0.207687,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
11.5279,4.74541,0.23727,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
11.7544,5.20167,0.260084,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
12.0494,6.06245,0.303122,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
12.2684,6.85887,0.342944,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
12.2709,6.99761,0.349881,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
12.5751,8.71444,0.435722,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
12.6897,8.85443,0.442722,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
12.894,9.43145,0.47157,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
12.9102,10.1268,0.506343,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
13.1488,11.2933,0.564668,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
13.2392,11.4174,0.570869,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
13.3654,12.0803,0.604015,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
13.4085,12.7217,0.636085,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
13.5602,12.9694,0.648474,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
13.8163,12.4954,0.624772,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
13.9638,12.5139,0.625692,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
14.1434,10.907,0.545347,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
14.2563,10.5397,0.526987,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
14.428,8.58904,0.429454,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
14.4728,8.27558,0.413779,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
14.6465,7.04464,0.352232,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
14.8891,5.78957,0.289478,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
15.0974,5.70857,0.285428,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
15.2802,5.38761,0.269381,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
15.2947,5.5115,0.275575,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
15.9021,5.56455,0.278228,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
16.0404,5.65388,0.282694,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
16.395,5.49619,0.274809,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
16.8675,5.81735,0.290868,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
16.9772,5.86229,0.293114,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
17.3555,5.77618,0.288809,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
17.8183,6.28554,0.314277,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
17.9469,6.43005,0.321503,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
18.3572,6.6926,0.33463,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
18.7828,6.84431,0.342216,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
19.2976,7.13117,0.356558,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
19.6467,7.44744,0.372372,None kPa,N/A,9793,['C'],A,Not stated,origin: commercial source,,,1957
20.0,7.23,0.10845,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
25.0,10.05,0.15075,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
30.0,13.0,0.195,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
35.0,15.77,0.23655,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
40.0,18.28,0.2742,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
45.0,20.55,0.30825,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
50.0,22.57,0.33855,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
55.0,24.45,0.36675,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
60.0,26.2,0.393,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
65.0,27.79,0.41685,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
70.0,29.32,0.4398,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
75.0,30.75,0.46125,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
80.0,32.21,0.48315,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
85.0,33.68,0.5052,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
90.0,35.09,0.52635,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
95.0,36.42,0.5463,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
100.0,37.98,0.5697,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
102.0,38.86,0.5829,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
104.0,40.33,0.60495,None kPa,N/A,10805,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,99.8 % (total),spectroscopy",99.8,Not Specified %,1959
