Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
69.63,19.1209,0.956044,None kPa,N/A,1866,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1923
72.39,19.4138,0.970688,None kPa,N/A,1866,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1923
75.11,19.8322,0.991608,None kPa,N/A,1866,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1923
77.71,20.2087,1.01044,None kPa,N/A,1866,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1923
80.34,20.4179,1.0209,None kPa,N/A,1866,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1923
84,20.8363,1.04182,None kPa,N/A,1866,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1923
86.36,20.9618,1.04809,None kPa,N/A,1866,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1923
88.9,21.2129,1.06064,None kPa,N/A,1866,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1923
91.26,21.5476,1.07738,None kPa,N/A,1866,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1923
93.56,21.6313,1.08156,None kPa,N/A,1866,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1923
96.21,22.0078,1.10039,None kPa,N/A,1866,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1923
98.59,22.0497,1.10248,None kPa,N/A,1866,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1923
101,22.3426,1.11713,None kPa,N/A,1866,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1923
298,27.196,1.3598,None kPa,N/A,1866,['C'],A,Low temperature calorimetry set up,origin: commercial source,,,1923
15.5,2.50622,0.0501243,None kPa,N/A,2014,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1924
18.2,3.15892,0.0631784,None kPa,N/A,2014,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1924
22.35,4.4183,0.0883661,None kPa,N/A,2014,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1924
26.8,5.753,0.11506,None kPa,N/A,2014,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1924
