Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
1.52407,0.00768636,0.000153727,0.0266645 kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
1.52823,0.00806495,0.000161299,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
1.70482,0.010008,0.000200159,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
1.86885,0.01114,0.000222801,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
1.97924,0.0122052,0.000244104,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
2.0743,0.0137883,0.000275765,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
2.23327,0.0151755,0.00030351,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
2.26429,0.0159494,0.000318988,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
2.46061,0.0182257,0.000364515,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
2.6962,0.0214248,0.000428496,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
2.72551,0.0222598,0.000445196,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
2.91326,0.0255648,0.000511295,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
2.94421,0.0264811,0.000529623,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
3.13362,0.0301191,0.000602383,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
3.17339,0.0310488,0.000620975,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
3.34447,0.0349056,0.000698112,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
3.43647,0.0376633,0.000753267,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
3.5532,0.0414473,0.000828946,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
3.69011,0.0442403,0.000884807,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
3.76273,0.0465137,0.000930274,None kPa,N/A,9796,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,98.2 % (total),spectroscopy",98.2,Not Specified %,1957
