c:\Users\xander\Documents\github_repositories\NIST-alloy-data-API\code_examples\python\alloys-api-python-examples\cpcsv\Ta_CP_data.csvTemperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
57.56,12.971,0.064855,None kPa,N/A,5354,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
84.53,18.275,0.091375,None kPa,N/A,5354,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
123.67,21.725,0.108625,None kPa,N/A,5354,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
143.95,22.662,0.11331,None kPa,N/A,5354,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
164.24,23.298,0.11649,None kPa,N/A,5354,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
184.83,23.854,0.11927,None kPa,N/A,5354,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
204.2,24.207,0.121035,None kPa,N/A,5354,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
219.54,24.407,0.122035,None kPa,N/A,5354,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
235.06,24.728,0.12364,None kPa,N/A,5354,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
255.29,24.921,0.124605,None kPa,N/A,5354,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
275.22,25.124,0.12562,None kPa,N/A,5354,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
294.22,25.186,0.12593,None kPa,N/A,5354,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
61.32,14.077,0.070385,None kPa,N/A,5355,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
93.21,19.32,0.0966,None kPa,N/A,5355,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
134.24,22.234,0.11117,None kPa,N/A,5355,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
154.34,22.98,0.1149,None kPa,N/A,5355,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
174.56,23.606,0.11803,None kPa,N/A,5355,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
195.34,24.041,0.120205,None kPa,N/A,5355,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
215.14,24.415,0.122075,None kPa,N/A,5355,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
224.92,24.531,0.122655,None kPa,N/A,5355,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
245.45,24.805,0.124025,None kPa,N/A,5355,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
265.5,25.038,0.12519,None kPa,N/A,5355,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
285.24,25.211,0.126055,None kPa,N/A,5355,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
53.0,11.76,0.0588,None kPa,N/A,5356,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
55.0,12.34,0.0617,None kPa,N/A,5356,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
60.0,13.64,0.0682,None kPa,N/A,5356,['C'],A,Vacuum adiabatic calorimetry,origin: commercial source,,,1940
