Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
53.6,5.34715,0.0534715,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
57.1,6.12538,0.0612538,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
61.4,7.02494,0.0702494,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
65.9,8.01236,0.0801236,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
70.5,8.96213,0.0896213,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
75.1,9.86169,0.0986169,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
80.1,11.2215,0.112215,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
83.8,11.4516,0.114516,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
92.7,12.9788,0.129788,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
102.9,14.4808,0.144808,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
112.7,15.7569,0.157569,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
128.2,17.0791,0.170791,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
133.3,18.0205,0.180205,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
143.4,18.8991,0.188991,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
154.0,19.6983,0.196983,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
163.9,20.4137,0.204137,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
174.3,20.9869,0.209869,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
184.2,21.5183,0.215183,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
194.4,22.0078,0.220078,None kPa,N/A,5750,['C'],A,Not Stated,"origin: commercial source,98.75 % (total),stated by supplier",98.75,Not Specified %,1944
