Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
11.18,4.08358,0.06276,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
11.4,4.4727,0.066944,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
11.98,4.59822,0.066944,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
12.64,4.99151,0.075312,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
12.88,5.16306,0.079496,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
13.22,5.51451,0.08368,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
13.94,6.00822,0.092048,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
13.98,6.49357,0.096232,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
14.86,6.52704,0.096232,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
14.93,6.6149,0.100416,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
15.32,6.84921,0.1046,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
15.66,7.29271,0.108784,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
16.08,7.5312,0.112968,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
17.5,8.2634,0.12552,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
17.78,8.40566,0.12552,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
18.24,8.91192,0.133888,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
18.36,8.80732,0.133888,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
18.8,9.3094,0.138072,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
19.86,9.97884,0.150624,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
20.6,10.2759,0.08368,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
20.7,10.2801,0.08368,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
21.7,11.3135,0.092048,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
23.6,12.8658,0.1046,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
25.0,13.2884,0.1046,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
27.5,15.167,0.121336,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
29.2,15.5519,0.12552,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
33.0,17.1753,0.138072,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
34.5,17.6774,0.142256,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
38.7,19.1251,0.154808,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
40.6,19.5602,0.154808,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
44.9,20.4096,0.163176,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
47.2,20.7526,0.16736,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
52.3,21.6522,0.171544,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
54.0,21.8614,0.175728,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
59.2,22.3509,0.179912,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
61.4,22.2547,0.179912,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
66.1,22.8112,0.184096,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
69.0,23.1375,0.184096,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
77.5,23.5643,0.18828,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
94.0,24.1124,0.071128,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
96.2,23.9534,0.071128,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
103.5,24.2672,0.071128,None kPa,N/A,3189,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 % (total),estimated by the compiler,chunk",99.5,Not Specified %,1930
