Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
273.15,25.2881,0.505762,None kPa,N/A,4127,['C'],A,Drop calorimetry,origin: commercial source,,,1934
373.15,25.9241,0.518481,None kPa,N/A,4127,['C'],A,Drop calorimetry,origin: commercial source,,,1934
473.15,26.5642,0.531284,None kPa,N/A,4127,['C'],A,Drop calorimetry,origin: commercial source,,,1934
573.15,27.1625,0.543251,None kPa,N/A,4127,['C'],A,Drop calorimetry,origin: commercial source,,,1934
673.15,27.7399,0.554798,None kPa,N/A,4127,['C'],A,Drop calorimetry,origin: commercial source,,,1934
773.15,28.3173,0.566346,None kPa,N/A,4127,['C'],A,Drop calorimetry,origin: commercial source,,,1934
873.15,28.8487,0.576974,None kPa,N/A,4127,['C'],A,Drop calorimetry,origin: commercial source,,,1934
973.15,29.3633,0.587266,None kPa,N/A,4127,['C'],A,Drop calorimetry,origin: commercial source,,,1934
1073.15,29.8738,0.597475,None kPa,N/A,4127,['C'],A,Drop calorimetry,origin: commercial source,,,1934
1173.15,30.3424,0.606847,None kPa,N/A,4127,['C'],A,Drop calorimetry,origin: commercial source,,,1934
1273.15,30.8319,0.616638,None kPa,N/A,4127,['C'],A,Drop calorimetry,origin: commercial source,,,1934
1373.15,31.3047,0.626094,None kPa,N/A,4127,['C'],A,Drop calorimetry,origin: commercial source,,,1934
1473.15,31.7524,0.635047,None kPa,N/A,4127,['C'],A,Drop calorimetry,origin: commercial source,,,1934
1573.15,32.2001,0.644001,None kPa,N/A,4127,['C'],A,Drop calorimetry,origin: commercial source,,,1934
1673.15,32.6478,0.652955,None kPa,N/A,4127,['C'],A,Drop calorimetry,origin: commercial source,,,1934
1773.15,33.0954,0.661909,None kPa,N/A,4127,['C'],A,Drop calorimetry,origin: commercial source,,,1934
54.2,4.94549,0.0989098,None kPa,N/A,4501,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 weight % (total),,powder",99.5,Weight %,1936
56.0,5.32623,0.106525,None kPa,N/A,4501,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 weight % (total),,powder",99.5,Weight %,1936
59.7,6.13374,0.122675,None kPa,N/A,4501,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 weight % (total),,powder",99.5,Weight %,1936
69.7,8.25503,0.165101,None kPa,N/A,4501,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 weight % (total),,powder",99.5,Weight %,1936
74.3,9.1253,0.182506,None kPa,N/A,4501,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.5 weight % (total),,powder",99.5,Weight %,1936
