Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
26.01,0.891192,0.0178238,None kPa,N/A,2013,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),",99.8,Not Specified %,1924
32.3,1.81586,0.0363171,None kPa,N/A,2013,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),",99.8,Not Specified %,1924
38.8,3.138,0.06276,None kPa,N/A,2013,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),",99.8,Not Specified %,1924
46.7,5.06264,0.101253,None kPa,N/A,2013,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),",99.8,Not Specified %,1924
54.7,7.5312,0.150624,None kPa,N/A,2013,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),",99.8,Not Specified %,1924
74.4,12.0081,0.240162,None kPa,N/A,2013,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),",99.8,Not Specified %,1924
78.3,12.8449,0.256898,None kPa,N/A,2013,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),",99.8,Not Specified %,1924
84.2,13.9327,0.278654,None kPa,N/A,2013,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),",99.8,Not Specified %,1924
91.1,15.0624,0.301248,None kPa,N/A,2013,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.8 % (total),",99.8,Not Specified %,1924
92.0,14.5603,0.728016,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
93.0,13.0122,0.650612,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
94.0,14.393,0.719648,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
96.0,15.8155,0.790776,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
108.0,16.736,0.8368,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
113.0,17.1126,0.855628,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
130.0,21.2129,1.06064,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
140.0,19.2882,0.964412,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
238.0,23.6396,1.18198,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
240.0,22.9283,1.14642,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
248.0,17.3218,0.866088,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
290.0,24.6019,1.2301,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
92.0,15.69,0.7845,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
93.0,15.1461,0.757304,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
108.0,17.1544,0.85772,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
111.0,17.0289,0.851444,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
150.0,20.0414,1.00207,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
156.0,19.8322,0.991608,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
195.0,21.9242,1.09621,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
205.0,22.5518,1.12759,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
280.0,24.4346,1.22173,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
282.0,23.4304,1.17152,None kPa,N/A,2967,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1928
20.13,0.340159,0.017008,0.1 kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
19.84,0.362334,0.0181167,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
19.51,0.335975,0.0167988,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
19.17,0.266521,0.013326,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
18.86,0.261918,0.0130959,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
18.57,0.252714,0.0126357,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
18.26,0.247693,0.0123846,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
18.02,0.189954,0.00949768,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
17.83,0.18033,0.00901652,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
17.67,0.20669,0.0103345,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
17.5,0.216731,0.0108366,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
16.83,0.194974,0.00974872,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
16.68,0.156063,0.00780316,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
16.53,0.144348,0.0072174,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
16.4,0.16736,0.008368,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
16.3,0.174891,0.00874456,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
16.24,0.176983,0.00884916,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
16.14,0.17782,0.008891,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
16.04,0.166942,0.00834708,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
15.94,0.161084,0.0080542,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
15.84,0.165268,0.0082634,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
15.73,0.145603,0.00728016,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
15.64,0.173218,0.00866088,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
15.54,0.168197,0.00840984,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
15.47,0.138909,0.00694544,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
15.37,0.13598,0.006799,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
15.27,0.134306,0.00671532,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
15.19,0.14644,0.007322,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
4.18,0.0107529,0.000537644,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
4.021,0.0101671,0.000508356,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
3.75,0.0077404,0.00038702,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
3.607,0.0071128,0.00035564,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
3.474,0.00598312,0.000299156,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
3.341,0.00677808,0.000338904,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
3.262,0.00560656,0.000280328,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
3.185,0.00560656,0.000280328,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
3.102,0.00510448,0.000255224,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
2.483,0.00390367,0.000195184,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
2.387,0.0032677,0.000163385,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
2.34,0.00354803,0.000177402,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
2.29,0.00319239,0.00015962,None kPa,N/A,7694,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.9 % (total),stated by supplier,wire",99.9,Not Specified %,1953
