Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
12.174,0.372,0.0074,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
13.563,0.5437,0.0109,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
15.213,0.8312,0.016,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
17.379,1.239,0.0148,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
20.224,1.943,0.0058,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
23.502,2.929,0.0088,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
27.219,4.201,0.0126,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
32.025,5.982,0.0179,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
37.77,8.121,0.0244,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
44.408,10.394,0.0312,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
51.593,12.591,0.0378,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
59.018,14.511,0.0435,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
68.028,16.406,0.0492,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
77.682,18.006,0.054,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
81.147,18.534,0.0556,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
86.624,19.272,0.0578,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
93.934,20.041,0.0601,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
103.73,20.939,0.0628,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
114.489,21.742,0.0652,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
125.505,22.43,0.0673,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
136.144,22.982,0.0689,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
146.491,23.44,0.0703,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
157.23,23.853,0.0716,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
168.38,24.234,0.0727,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
179.34,24.533,0.0736,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
190.116,24.907,0.0747,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
200.736,25.134,0.0754,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
211.807,25.364,0.0761,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
223.343,25.55,0.0767,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
234.754,25.742,0.0772,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
246.064,25.906,0.0777,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
257.28,26.072,0.0782,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
268.405,26.245,0.0787,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
279.148,26.36,0.0791,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
291.167,26.524,0.0796,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
303.094,26.649,0.0799,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
314.932,26.767,0.0803,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
326.693,26.909,0.0807,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
338.408,27.013,0.081,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
350.11,27.055,0.0812,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
86.466,19.269,0.0578,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
98.354,20.505,0.0615,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
108.762,21.37,0.0641,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
119.425,22.034,0.0661,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
130.403,22.673,0.068,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
141.05,23.178,0.0695,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
151.436,23.664,0.071,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
162.227,24.048,0.0721,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
173.451,24.398,0.0732,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
184.479,24.776,0.0743,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
195.335,25.019,0.0751,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
206.649,25.24,0.0757,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
218.424,25.411,0.0762,None kPa,N/A,11341,['C'],A,Adiabatic calorimeter (non-vacuum) ,"not stated,98.3 % (total),spectroscopy",98.3,Not Specified %,1960
