Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
33.1,5.23,0.1046,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
34.3,5.52288,0.110458,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
36.3,7.15464,0.143093,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
41.0,6.6944,0.133888,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
43.7,9.07928,0.181586,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
61.8,13.598,0.27196,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
64.0,14.6858,0.293717,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
68.0,15.0206,0.300411,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
75.0,16.5268,0.330536,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
80.0,17.4473,0.348946,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
85.0,17.7402,0.354803,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
89.0,18.3678,0.367355,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
89.3,18.0749,0.361498,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
94.0,19.0372,0.380744,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
207.0,24.3927,0.487854,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
274.0,24.6856,0.493712,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
290.0,25.2295,0.50459,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
366.0,25.9408,0.518816,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
395.0,26.2755,0.52551,None kPa,N/A,881,['C'],A,Low temperature calorimetry set up,not stated,,,1911
67.15,14.5603,0.145603,None kPa,N/A,882,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
69.15,15.5226,0.155226,None kPa,N/A,882,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
74.15,16.5059,0.165059,None kPa,N/A,882,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
80.15,17.3427,0.173427,None kPa,N/A,882,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
80.15,17.531,0.17531,None kPa,N/A,882,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
85.15,17.7611,0.177611,None kPa,N/A,882,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
89.15,18.3678,0.183678,None kPa,N/A,882,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
94.15,19.0372,0.190372,None kPa,N/A,882,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
204.15,24.058,0.24058,None kPa,N/A,882,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
207.15,24.4346,0.244346,None kPa,N/A,882,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
210.15,24.6438,0.246438,None kPa,N/A,882,['C'],A,Vacuum adiabatic calorimetry,not stated,,,1911
145.5,23.012,0.69036,None kPa,N/A,1172,['C'],A,Low temperature calorimetry set up,not stated,,,1914
211.1,24.3509,0.730526,None kPa,N/A,1172,['C'],A,Low temperature calorimetry set up,not stated,,,1914
273.1,25.104,0.75312,None kPa,N/A,1172,['C'],A,Low temperature calorimetry set up,not stated,,,1914
294.6,25.355,0.760651,None kPa,N/A,1172,['C'],A,Low temperature calorimetry set up,not stated,,,1914
323.6,25.7316,0.771948,None kPa,N/A,1172,['C'],A,Low temperature calorimetry set up,not stated,,,1914
370.5,26.0245,0.780734,None kPa,N/A,1172,['C'],A,Low temperature calorimetry set up,not stated,,,1914
396.5,26.1918,0.785755,None kPa,N/A,1172,['C'],A,Low temperature calorimetry set up,not stated,,,1914
120.0,21.5476,1.07738,101.325 kPa,N/A,1179,['C'],A,Not Described,not stated,,,1914
160.0,23.4722,1.17361,None kPa,N/A,1179,['C'],A,Not Described,not stated,,,1914
210.0,24.3509,1.21754,None kPa,N/A,1179,['C'],A,Not Described,not stated,,,1914
250.0,24.8948,1.24474,None kPa,N/A,1179,['C'],A,Not Described,not stated,,,1914
310.0,25.5224,1.27612,None kPa,N/A,1179,['C'],A,Not Described,not stated,,,1914
350.0,25.899,1.29495,None kPa,N/A,1179,['C'],A,Not Described,not stated,,,1914
390.0,26.15,1.3075,None kPa,N/A,1179,['C'],A,Not Described,not stated,,,1914
373.15,25.9826,0.259826,None kPa,N/A,1934,['C'],A,Drop calorimetry,"origin: commercial source,99.8 % (total),",99.8,Not Specified %,1924
473.15,27.2797,0.272797,None kPa,N/A,1934,['C'],A,Drop calorimetry,"origin: commercial source,99.8 % (total),",99.8,Not Specified %,1924
573.15,28.5349,0.285349,None kPa,N/A,1934,['C'],A,Drop calorimetry,"origin: commercial source,99.8 % (total),",99.8,Not Specified %,1924
673.15,29.7901,0.297901,None kPa,N/A,1934,['C'],A,Drop calorimetry,"origin: commercial source,99.8 % (total),",99.8,Not Specified %,1924
12.48,0.43932,0.00661072,0.266645 kPa,N/A,2836,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),estimated by the compiler",99.99,Not Specified %,1928
12.95,0.476976,0.00715464,None kPa,N/A,2836,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),estimated by the compiler",99.99,Not Specified %,1928
13.35,0.535552,0.00803328,None kPa,N/A,2836,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),estimated by the compiler",99.99,Not Specified %,1928
14.21,0.623416,0.00937216,None kPa,N/A,2836,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),estimated by the compiler",99.99,Not Specified %,1928
14.45,0.686176,0.0102926,None kPa,N/A,2836,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),estimated by the compiler",99.99,Not Specified %,1928
14.7,0.702912,0.0105437,None kPa,N/A,2836,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.99 % (total),estimated by the compiler",99.99,Not Specified %,1928
