Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
53.2,10.115,0.050575,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
56.8,11.044,0.05522,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
60.8,12.019,0.060095,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
65.6,13.11,0.06555,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
70.6,14.152,0.07076,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
75.4,15.098,0.07549,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
79.8,15.851,0.079255,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
84.1,16.503,0.082515,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
94.9,17.971,0.089855,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
104.5,19.084,0.09542,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
115.0,20.063,0.100315,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
124.1,20.795,0.103975,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
136.1,21.636,0.10818,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
146.2,22.142,0.11071,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
156.0,22.627,0.113135,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
166.1,23.05,0.11525,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
176.0,23.452,0.11726,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
186.2,23.728,0.11864,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
196.1,24.0,0.12,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
206.3,24.272,0.12136,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
216.4,24.518,0.12259,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
226.2,24.702,0.12351,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
236.4,24.882,0.12441,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
246.0,25.02,0.1251,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
256.7,25.275,0.126375,None kPa,N/A,6632,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,97.85 weight % (total),estimation,sheet",97.85,Weight %,1950
